alphadata_ticker,yahoo_ticker,nombre,tipo,moneda,estado,cdv_ticker
AGUAS-A,AGUAS-A.SN,Aguas Andinas A,accion_local,CLP,activo,
ANDINA-B,ANDINA-B.SN,Embotelladora Andina B,accion_local,CLP,activo,
BCI,BCI.SN,Banco de Crédito e Inversiones,accion_local,CLP,activo,
BSANTANDER,BSANTANDER.SN,Banco Santander Chile,accion_local,CLP,activo,
CAP,CAP.SN,CAP,accion_local,CLP,activo,
CCU,CCU.SN,CCU,accion_local,CLP,activo,
CENCOMALLS,CENCOMALLS.SN,Cenco Malls,accion_local,CLP,activo,
CENCOSUD,CENCOSUD.SN,Cencosud,accion_local,CLP,activo,
CHILE,CHILE.SN,Banco de Chile,accion_local,CLP,activo,
CMPC,CMPC.SN,Empresas CMPC,accion_local,CLP,activo,
COLBUN,COLBUN.SN,Colbún,accion_local,CLP,activo,
CONCHATORO,CONCHATORO.SN,Viña Concha y Toro,accion_local,CLP,activo,
COPEC,COPEC.SN,Empresas Copec,accion_local,CLP,activo,
ECL,ECL.SN,Engie Energía Chile,accion_local,CLP,activo,
ENELAM,ENELAM.SN,Enel Américas,accion_local,CLP,activo,
ENELCHILE,ENELCHILE.SN,Enel Chile,accion_local,CLP,activo,
ENTEL,ENTEL.SN,Entel,accion_local,CLP,activo,
FALABELLA,FALABELLA.SN,Falabella,accion_local,CLP,activo,
IAM,IAM.SN,Inversiones Aguas Metropolitanas,accion_local,CLP,activo,
ILC,ILC.SN,Inversiones La Construcción,accion_local,CLP,activo,
ITAUCL,ITAUCL.SN,Itaú Corpbanca,accion_local,CLP,activo,
LTM,LTM.SN,Latam Airlines,accion_local,CLP,activo,
MALLPLAZA,MALLPLAZA.SN,Mallplaza,accion_local,CLP,activo,
PARAUCO,PARAUCO.SN,Parque Arauco,accion_local,CLP,activo,
QUINENCO,QUINENCO.SN,Quiñenco,accion_local,CLP,activo,
RIPLEY,RIPLEY.SN,Ripley,accion_local,CLP,activo,
SALFACORP,SALFACORP.SN,Salfacorp,accion_local,CLP,activo,
SMU,SMU.SN,SMU,accion_local,CLP,activo,
SQM-B,SQM-B.SN,SQM Serie B,accion_local,CLP,activo,
VAPORES,VAPORES.SN,Compañía Sud Americana de Vapores,accion_local,CLP,activo,
LTM-ADR,LTM,Latam Airlines ADR,adr,USD,activo,
SQM-ADR,SQM,SQM ADR,adr,USD,activo,
AESANDES,AESANDES.SN,AES Andes,accion_sigma,CLP,sin_datos,
ANTARCHILE,ANTARCHILE.SN,Antarchile,accion_sigma,CLP,activo,
BESALCO,BESALCO.SN,Besalco,accion_sigma,CLP,activo,
EMBONOR-B,EMBONOR-B.SN,Coca-Cola Embonor B,accion_sigma,CLP,activo,
FORUS,FORUS.SN,Forus,accion_sigma,CLP,activo,
HITES,HITES.SN,Hites,accion_sigma,CLP,activo,
INDISA,INDISA.SN,Indisa,accion_sigma,CLP,activo,
INGEVEC,INGEVEC.SN,Ingevec,accion_sigma,CLP,activo,
MULTIFOODS,MULTI-X.SN,Multiexport Foods,accion_sigma,CLP,activo,
SMSAAM,SMSAAM.SN,SAAM,accion_sigma,CLP,activo,
SONDA,SONDA.SN,Sonda,accion_sigma,CLP,activo,
IPSA_TR,MSCI_IPSA_GROSS,MSCI IPSA Gross (descarga manual semanal),benchmark,indice,manual,
ABT,ABT,Abbott Laboratories (CDV ABTCL),accion_us,USD,activo,ABTCL
GOOGL,GOOGL,Alphabet Inc. Class A (CDV GOOGLCL),accion_us,USD,activo,GOOGLCL
GOOG,GOOG,Alphabet Inc. Class C (CDV GOOGCL),accion_us,USD,activo,GOOGCL
AMZN,AMZN,Amazon.com Inc. (CDV AMZNCL),accion_us,USD,activo,AMZNCL
AXP,AXP,American Express Co. (CDV AXPCL),accion_us,USD,activo,AXPCL
AAPL,AAPL,Apple Inc. (CDV AAPLCL),accion_us,USD,activo,AAPLCL
CVX,CVX,Chevron Corp. (CDV CVXCL),accion_us,USD,activo,CVXCL
EBAY,EBAY,eBay Inc. (CDV EBAYCL),accion_us,USD,activo,EBAYCL
XOM,XOM,Exxon Mobil Corp. (CDV sin confirmar),accion_us,USD,activo,
FCX,FCX,Freeport-McMoRan Inc. (CDV FCXCL),accion_us,USD,activo,FCXCL
HON,HON,Honeywell International Inc. (CDV HONCL),accion_us,USD,activo,HONCL
INTC,INTC,Intel Corp. (CDV INTCCL),accion_us,USD,activo,INTCCL
JNJ,JNJ,Johnson & Johnson (CDV JNJCL),accion_us,USD,activo,JNJCL
MCD,MCD,McDonald's Corp. (CDV MCDCL),accion_us,USD,activo,MCDCL
MRK,MRK,Merck & Co. Inc. (CDV MRKCL),accion_us,USD,activo,MRKCL
MSFT,MSFT,Microsoft Corp. (CDV MSFTCL),accion_us,USD,activo,MSFTCL
MS,MS,Morgan Stanley (CDV MSCL),accion_us,USD,activo,MSCL
NKE,NKE,Nike Inc. (CDV NKECL),accion_us,USD,activo,NKECL
NVDA,NVDA,NVIDIA Corp. (CDV NVDACL),accion_us,USD,activo,NVDACL
PFE,PFE,Pfizer Inc. (CDV PFECL),accion_us,USD,activo,PFECL
SBUX,SBUX,Starbucks Corp. (CDV SBUXCL),accion_us,USD,activo,SBUXCL
TGT,TGT,Target Corp. (CDV TGTCL),accion_us,USD,activo,TGTCL
BAC,BAC,Bank of America Corp. (CDV BACCL),accion_us,USD,activo,BACCL
KO,KO,Coca-Cola Co. (CDV KOCL),accion_us,USD,activo,KOCL
DIS,DIS,Walt Disney Co. (CDV DISCL),accion_us,USD,activo,DISCL
UPS,UPS,United Parcel Service Inc. (CDV UPSCL),accion_us,USD,activo,UPSCL
UNH,UNH,UnitedHealth Group Inc. (CDV UNHCL),accion_us,USD,activo,UNHCL
V,V,Visa Inc. (CDV VCL),accion_us,USD,activo,VCL
WMT,WMT,Walmart Inc. (CDV WALMARTCL),accion_us,USD,activo,WALMARTCL
WFC,WFC,Wells Fargo & Co. (CDV WFCCL),accion_us,USD,activo,WFCCL
USDCLP,USDCLP=X,Tipo de cambio dólar/peso,fx,CLP,activo,
IAU,IAU,iShares Gold Trust (CDV IAUCL),etf_us,USD,activo,IAUCL
