country,exchange,local_ticker,issuer,share_class,sector,currency,index_reference,official_status,data_symbol_candidate,international_symbol,economic_group,eligibility_status,eligibility_note,as_of,listing_scope,quote_currency,data_role
COLOMBIA,BVC,PFCIBEST,Grupo Cibest,preferencial,financieros,COP,MSCI COLCAP,confirmado_indice,PFCIBEST.CL,,Grupo Cibest,candidato_liquido,No combinar con CIBEST sin límite por emisor,2026-06-30,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,CIBEST,Grupo Cibest,ordinaria,financieros,COP,MSCI COLCAP,confirmado_indice,CIBEST.CL,,Grupo Cibest,candidato_liquido,No combinar con PFCIBEST sin límite por emisor,2026-06-30,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,ISA,Interconexión Eléctrica,ordinaria,servicios públicos,COP,MSCI COLCAP,confirmado_indice,ISA.CL,,Grupo Ecopetrol,candidato_liquido,Validar ajuste por dividendos,2026-06-30,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,ECOPETROL,Ecopetrol,ordinaria,energía,COP,MSCI COLCAP,confirmado_indice,ECOPETROL.CL,EC,Grupo Ecopetrol,candidato_liquido,ADR disponible; conciliar precio local y retorno total,2026-06-30,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,GEB,Grupo Energía Bogotá,ordinaria,servicios públicos,COP,MSCI COLCAP,confirmado_indice,GEB.CL,,Grupo Energía Bogotá,candidato_liquido,Validar ajuste por dividendos,2026-06-30,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,PFGRUPSURA,Grupo Sura,preferencial,financieros,COP,MSCI COLCAP,confirmado_indice,PFGRUPSURA.CL,,Grupo Sura,candidato_liquido,Símbolo de proveedor corregido; no combinar con GRUPOSURA sin límite por emisor,2026-06-30,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,GRUPOSURA,Grupo Sura,ordinaria,financieros,COP,MSCI COLCAP,confirmado_indice,GRUPOSURA.CL,,Grupo Sura,candidato_liquido,No combinar con PFSURA sin límite por emisor,2026-06-30,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,CEMARGOS,Cementos Argos,ordinaria,materiales,COP,MSCI COLCAP,confirmado_indice,CEMARGOS.CL,,Grupo Argos,candidato_liquido,Aplicar límite conjunto con Grupo Argos,2026-06-30,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,GRUPOARGOS,Grupo Argos,ordinaria,industriales,COP,MSCI COLCAP,confirmado_indice,GRUPOARGOS.CL,,Grupo Argos,candidato_liquido,Aplicar límite conjunto con Cementos Argos,2026-06-30,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,PFAVAL,Grupo Aval,preferencial,financieros,COP,MSCI COLCAP,confirmado_indice,PFAVAL.CL,,Grupo Aval,candidato,Validar volumen y dividendos,2026-06-30,local_bvc,COP,precio_y_liquidez_local
