country,exchange,local_ticker,issuer,share_class,sector,currency,index_reference,official_status,data_symbol_candidate,international_symbol,eligibility_status,eligibility_note,as_of
PERU,BVL,BAP,Credicorp Ltd.,ordinaria,financieros,USD,MSCI nuam Peru Select Capped 15%,confirmado_indice,BAP,BAP,candidato_liquido,ADR/NYSE con historia amplia; validar precio local y moneda,2026-07-28
PERU,BVL,SCCO,Southern Copper Corp.,ordinaria,materiales,USD,MSCI nuam Peru Select Capped 15%,confirmado_indice,SCCO,SCCO,candidato_liquido,Cotización internacional líquida; exposición también a México,2026-07-28
PERU,BVL,CVERDEC1,Sociedad Minera Cerro Verde,ordinaria,materiales,USD,MSCI nuam Peru Select Capped 15%,candidato_por_verificar,CVERDEC1.LM,,condicionado,Validar símbolo automatizable y frecuencia de negociación,2026-07-28
PERU,BVL,BVN,Compañía de Minas Buenaventura,ordinaria,materiales,USD,MSCI nuam Peru Select Capped 15%,confirmado_indice,BVN,BVN,candidato_liquido,ADR/NYSE disponible; conciliar dividendos y moneda,2026-07-28
PERU,BVL,IFS,Intercorp Financial Services,ordinaria,financieros,USD,MSCI nuam Peru Select Capped 15%,candidato_por_verificar,IFS,IFS,candidato_liquido,NYSE disponible; verificar continuidad con cotización BVL,2026-07-28
PERU,BVL,MINSURI1,Minsur Inversión, inversión,materiales,PEN,MSCI nuam Peru Select Capped 15%,candidato_por_verificar,MINSURI1.LM,,condicionado,Ingreso regional reportado; validar constituyente local y liquidez,2026-07-28
PERU,BVL,NEXAPEC1,Nexa Resources Perú,ordinaria,materiales,PEN,MSCI nuam Peru Select Capped 15%,candidato_por_verificar,NEXAPEC1.LM,NEXA,condicionado,No confundir acción peruana con holding internacional,2026-07-28
PERU,BVL,CPACASC1,Cementos Pacasmayo, inversión,materiales,PEN,MSCI nuam Peru Select Capped 15%,candidato_por_verificar,CPACASC1.LM,CPAC,candidato,ADR disponible; conciliar clase y dividendos,2026-07-28
PERU,BVL,BBVAC1,BBVA Perú,ordinaria,financieros,PEN,MSCI nuam Peru Select Capped 15%,candidato_por_verificar,BBVAC1.LM,,condicionado,Validar historia diaria y liquidez mínima,2026-07-28
PERU,BVL,INRETC1,InRetail Perú Corp.,ordinaria,consumo,PEN,MSCI nuam Peru Select Capped 15%,candidato_por_verificar,INRETC1.LM,,candidato,Validar símbolo proveedor y retorno total,2026-07-28
PERU,BVL,FERREYC1,Ferreycorp,ordinaria,industriales,PEN,MSCI nuam Peru Select Capped 15%,candidato_por_verificar,FERREYC1.LM,,candidato,Validar cobertura diaria y dividendos,2026-07-28
PERU,BVL,ALICORC1,Alicorp,ordinaria,consumo básico,PEN,MSCI nuam Peru Select Capped 15%,candidato_por_verificar,ALICORC1.LM,,candidato,Validar cobertura diaria y eventos corporativos,2026-07-28
PERU,BVL,UNACEMC1,UNACEM,ordinaria,materiales,PEN,MSCI nuam Peru Select Capped 15%,candidato_por_verificar,UNACEMC1.LM,,condicionado,Validar liquidez y retorno total,2026-07-28
PERU,BVL,VOLCABC1,Volcan Compañía Minera B,clase B,materiales,PEN,MSCI nuam Peru Select Capped 15%,candidato_por_verificar,VOLCABC1.LM,,condicionado,Requiere filtro estricto de liquidez y eventos corporativos,2026-07-28
PERU,BVL,ENGIEC1,Engie Energía Perú,ordinaria,servicios públicos,PEN,MSCI nuam Peru Select Capped 15%,candidato_por_verificar,ENGIEC1.LM,,condicionado,Validar volumen y continuidad de precios,2026-07-28
PERU,BVL,LUSURC1,Luz del Sur,ordinaria,servicios públicos,PEN,MSCI nuam Peru Select Capped 15%,candidato_por_verificar,LUSURC1.LM,,condicionado,Validar volumen y continuidad de precios,2026-07-28
PERU,BVL,CORAREI1,Corporación Aceros Arequipa,inversión,materiales,PEN,MSCI nuam Peru Select Capped 15%,candidato_por_verificar,CORAREI1.LM,,condicionado,Validar constitución vigente del índice y liquidez,2026-07-28
PERU,BVL,CASAGRC1,Casa Grande,ordinaria,consumo básico,PEN,MSCI nuam Peru General,confirmado_indice_amplio,CASAGRC1.LM,,reserva,No incluir hasta superar filtros de negociación,2026-07-28
