ticker,credicorp_signal,momentum_12_1,sma200,history_rows,latest_signal_at,eligible
PARAUCO,1,0.664210345315966,3766.261701285265,3027,2026-07-01,True
BCI,1,0.5904918333304237,61368.792348760326,3027,2026-07-01,True
VAPORES,1,0.22037060848814116,44.851787267953966,3027,2025-11-24,True
LTM,1,0.13524409698333573,24.276702100281728,3027,2026-07-09,True
SQM-ADR,0,0.875386451732163,75.1897947883606,3027,2025-12-18,False
SQM-B,0,0.7831284507020362,68117.36578547444,3027,2026-07-22,False
ITAUCL,0,0.5898224395377762,20008.439976789974,3027,2026-07-09,False
MALLPLAZA,0,0.55440414507772,3807.4213441346824,2106,2026-05-06,False
ECL,0,0.4333615701811466,1642.1612303306379,3027,2026-04-30,False
CHILE,0,0.3966495452341794,176.9219023205765,3027,2026-07-09,False
SALFACORP,0,0.35547300895666667,1287.1458771028665,3027,2026-05-18,False
BSANTANDER,0,0.3101518052439496,73.83120823059309,3027,2026-07-09,False
ANDINA-B,0,0.2744226492384245,4316.600837704603,3027,2026-06-24,False
ENTEL,0,0.22068505314061104,3851.137503846678,3027,2026-05-05,False
QUINENCO,0,0.16530911317446972,4139.26145813827,3027,2026-03-03,False
CENCOMALLS,1,0.16224705430460218,2445.38822860643,1869,2026-04-22,False
ENELCHILE,0,0.15068796528400985,76.11236836794694,2692,2026-04-29,False
SMSAAM,0,0.12027757395311056,143.4499003967285,3027,2026-03-09,False
FALABELLA,0,0.11570412088911253,6040.942182585392,3027,2026-07-08,False
CAP,0,0.021896428600543638,6729.486997070312,3027,2026-06-04,False
COLBUN,0,-0.0032941755670110595,138.09847399029604,3027,2025-12-05,False
CCU,0,-0.009783893625006979,5516.882105682599,3027,2026-06-24,False
AGUAS-A,0,-0.05174899180547521,344.3719160506635,3027,2026-03-23,False
ANTARCHILE,0,-0.05894321561833138,7825.522994035584,3027,2026-05-19,False
ENELAM,0,-0.06255981638176078,81.72536804573758,3027,2026-06-19,False
RIPLEY,0,-0.07437382504540369,394.94061711045566,3027,2026-06-01,False
CONCHATORO,0,-0.15378949691130317,897.4777497847333,3027,2026-05-06,False
SMU,0,-0.17594634909614482,138.97219973649678,2495,2026-06-18,False
CENCOSUD,0,-0.2558752256910203,2403.3122487899814,3027,2026-07-02,False
CMPC,-1,-0.2893856241998799,1166.1409424837088,3027,2026-03-09,False
