estrategia,instrumento,simbolo,estado_simbolo,motivo_simbolo,monto_referencia,precio,unidades,monto_efectivo,residuo,dias_en_cartera,proxima_salida,dias_hasta_la_salida,costo_de_entrar,sobre_el_umbral,umbral,costo_del_par,costo_pct,costo_anualizado
Delta-12,PARAUCO,PARAUCO,operable,,937500.0,3898.9,240,935736.0,1764.0,174,"por ranking, sin fecha",,1670.28876,True,560218.487394958,3340.57752,0.00357,
Delta-12,BCI,BCI,operable,,937500.0,66748.0,14,934472.0,3028.0,21,"por ranking, sin fecha",,1668.03252,True,560218.487394958,3336.06504,0.00357,
Delta-12,MALLPLAZA,MALLPLAZA,operable,,937500.0,3802.7,246,935464.2,2035.8000000000466,206,"por ranking, sin fecha",,1669.8035969999999,True,560218.487394958,3339.6071939999997,0.00357,
Delta-12,ITAUCL,ITAUCL,operable,,937500.0,24149.0,38,917662.0,19838.0,206,"por ranking, sin fecha",,1638.02667,True,560218.487394958,3276.05334,0.00357,
Delta-12,ECL,ECL,operable,,937500.0,1900.0,493,936700.0,800.0,83,"por ranking, sin fecha",,1672.0095,True,560218.487394958,3344.019,0.00357,
Delta-12,CHILE,CHILE,operable,,937500.0,199.5,4699,937450.5,49.5,83,"por ranking, sin fecha",,1673.3491425,True,560218.487394958,3346.698285,0.00357,
Delta-12,BSANTANDER,BSANTANDER,operable,,937500.0,82.3,11391,937479.2999999999,20.70000000006985,52,"por ranking, sin fecha",,1673.4005504999998,True,560218.487394958,3346.8011009999996,0.00357,
Delta-12,ANDINA-B,ANDINA-B,operable,,937500.0,4900.0,191,935900.0,1600.0,21,"por ranking, sin fecha",,1670.5815,True,560218.487394958,3341.163,0.00357,
Gamma-6,TGT,TGTCL.SN,operable,"el proveedor confirma la empresa; sólo 5 ruedas con negocio, así que la razón no se puede medir y las unidades suponen uno a uno",1250000.0,151388.98694953602,8,1211111.8955962881,38888.104403711855,52,"por ranking, sin fecha",,2161.834733639374,True,560218.487394958,4323.669467278748,0.0035699999999999994,
Gamma-6,INTC,INTCCL.SN,operable,"razón 1.0059 sobre 48 ruedas, y el proveedor confirma la empresa",1250000.0,116899.0543470215,10,1168990.543470215,81009.45652978495,356,"por ranking, sin fecha",,2086.648120094334,True,560218.487394958,4173.296240188668,0.0035700000000000003,
Gamma-6,MRK,MRKCL.SN,operable,"razón 1.0012 sobre 20 ruedas, y el proveedor confirma la empresa",1250000.0,143508.03744506836,8,1148064.2995605469,101935.70043945312,52,"por ranking, sin fecha",,2049.2947747155763,True,560218.487394958,4098.589549431153,0.0035700000000000003,
Gamma-6,BAC,BACCL.SN,operable,"razón 1.0012 sobre 38 ruedas, y el proveedor confirma la empresa",1250000.0,55636.961330639664,22,1224013.1492740726,25986.85072592739,52,"por ranking, sin fecha",,2184.8634714542195,True,560218.487394958,4369.726942908439,0.00357,
Gamma-6,JNJ,JNJCL.SN,operable,"razón 1.0040 sobre 19 ruedas, y el proveedor confirma la empresa",1250000.0,258669.63896657713,4,1034678.5558663085,215321.4441336915,21,"por ranking, sin fecha",,1846.9012222213605,True,560218.487394958,3693.802444442721,0.00357,
Gamma-6,ABT,ABTCL.SN,operable,"el proveedor confirma la empresa; sólo 0 ruedas con negocio, así que la razón no se puede medir y las unidades suponen uno a uno",1250000.0,98852.56306247553,12,1186230.7567497063,63769.24325029366,21,"por ranking, sin fecha",,2117.4219007982256,True,560218.487394958,4234.843801596451,0.0035699999999999994,
Oro,IAU,IAUCL.SN,operable,"razón 1.0003 sobre 82 ruedas, y el proveedor confirma la empresa",5000000.0,78396.66324660648,63,4938989.784536208,61010.215463791974,263,posición permanente,,8816.096765397131,True,560218.487394958,17632.193530794262,0.00357,
