date,cdv,subyacente,cdv_clp,volumen
2024-09-23,AAPLCL.SN,AAPL,201659.0,7
2024-09-24,AAPLCL.SN,AAPL,201659.0,12
2024-09-25,AAPLCL.SN,AAPL,201659.0,8
2024-09-26,AAPLCL.SN,AAPL,201659.0,3
2024-09-27,AAPLCL.SN,AAPL,205000.0,229
2024-09-30,AAPLCL.SN,AAPL,208325.0,41
2024-10-01,AAPLCL.SN,AAPL,208325.0,9
2024-10-02,AAPLCL.SN,AAPL,204233.0,45
2024-10-03,AAPLCL.SN,AAPL,204233.0,19
2024-10-04,AAPLCL.SN,AAPL,204233.0,7
2024-10-07,AAPLCL.SN,AAPL,204233.0,19
2024-10-08,AAPLCL.SN,AAPL,204233.0,9
2024-10-09,AAPLCL.SN,AAPL,204233.0,5
2024-10-10,AAPLCL.SN,AAPL,204233.0,17
2024-10-11,AAPLCL.SN,AAPL,204233.0,0
2024-10-14,AAPLCL.SN,AAPL,204233.0,1
2024-10-15,AAPLCL.SN,AAPL,204233.0,7
2024-10-16,AAPLCL.SN,AAPL,217654.0,35
2024-10-17,AAPLCL.SN,AAPL,217654.0,5
2024-10-18,AAPLCL.SN,AAPL,217654.0,0
2024-10-21,AAPLCL.SN,AAPL,217654.0,26
2024-10-22,AAPLCL.SN,AAPL,217654.0,25
2024-10-23,AAPLCL.SN,AAPL,216200.0,47
2024-10-24,AAPLCL.SN,AAPL,216200.0,24
2024-10-25,AAPLCL.SN,AAPL,216200.0,31
2024-10-28,AAPLCL.SN,AAPL,216200.0,11
2024-10-29,AAPLCL.SN,AAPL,216200.0,9
2024-10-30,AAPLCL.SN,AAPL,216200.0,11
2024-11-04,AAPLCL.SN,AAPL,211600.0,914
2024-11-05,AAPLCL.SN,AAPL,211600.0,0
2024-11-06,AAPLCL.SN,AAPL,215000.0,46
2024-11-07,AAPLCL.SN,AAPL,215000.0,4
2024-11-08,AAPLCL.SN,AAPL,215000.0,1
2024-11-11,AAPLCL.SN,AAPL,215000.0,3
2024-11-12,AAPLCL.SN,AAPL,215000.0,5
2024-11-13,AAPLCL.SN,AAPL,215000.0,18
2024-11-14,AAPLCL.SN,AAPL,215000.0,0
2024-11-15,AAPLCL.SN,AAPL,215000.0,1
2024-11-18,AAPLCL.SN,AAPL,215000.0,0
2024-11-19,AAPLCL.SN,AAPL,215000.0,0
2024-11-20,AAPLCL.SN,AAPL,220000.0,75
2024-11-21,AAPLCL.SN,AAPL,220000.0,4
2024-11-22,AAPLCL.SN,AAPL,220000.0,3
2024-11-25,AAPLCL.SN,AAPL,220000.0,0
