cdv,subyacente,nombre_proveedor
AAPLCL.SN,AAPL,Apple Inc.
ABTCL.SN,ABT,Abbott Laboratories
AMZNCL.SN,AMZN,"Amazon.com, Inc."
AXPCL.SN,AXP,American Express Company
BACCL.SN,BAC,Bank of America Corporation
CVXCL.SN,CVX,Chevron Corporation
DISCL.SN,DIS,The Walt Disney Company
EBAYCL.SN,EBAY,eBay Inc.
FCXCL.SN,FCX,Freeport-McMoRan Inc.
GOOGCL.SN,GOOG,Alphabet Inc.
GOOGLCL.SN,GOOGL,Alphabet Inc.
HONCL.SN,HON,Honeywell International Inc.
IAUCL.SN,IAU,iShares Gold Trust
INTCCL.SN,INTC,Intel Corporation
JNJCL.SN,JNJ,Johnson & Johnson
KOCL.SN,KO,The Coca-Cola Company
MCDCL.SN,MCD,McDonald's Corporation
MRKCL.SN,MRK,"Merck & Co., Inc."
MSCL.SN,MS,Morgan Stanley
MSFTCL.SN,MSFT,Microsoft Corporation
NKECL.SN,NKE,"NIKE, Inc."
NVDACL.SN,NVDA,NVIDIA Corporation
PFECL.SN,PFE,Pfizer Inc.
SBUXCL.SN,SBUX,Starbucks Corporation
TGTCL.SN,TGT,Target Corporation
UNHCL.SN,UNH,UnitedHealth Group Incorporated
UPSCL.SN,UPS,"United Parcel Service, Inc."
VCL.SN,V,Visa Inc.
WFCCL.SN,WFC,Wells Fargo & Company
WALMARTCL.SN,WMT,Walmart Inc.
