alphadata_ticker,yahoo_ticker,nombre,tipo,rows,first_date,last_date,status,data_source,checked_at_utc
AGUAS-A,AGUAS-A.SN,Aguas Andinas A,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
ANDINA-B,ANDINA-B.SN,Embotelladora Andina B,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
BCI,BCI.SN,Banco de Crédito e Inversiones,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
BSANTANDER,BSANTANDER.SN,Banco Santander Chile,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
CAP,CAP.SN,CAP,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
CCU,CCU.SN,CCU,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
CENCOMALLS,CENCOMALLS.SN,Cenco Malls,accion_local,1789,2019-06-28,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
CENCOSUD,CENCOSUD.SN,Cencosud,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
CHILE,CHILE.SN,Banco de Chile,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
CMPC,CMPC.SN,Empresas CMPC,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
COLBUN,COLBUN.SN,Colbún,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
CONCHATORO,CONCHATORO.SN,Viña Concha y Toro,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
COPEC,COPEC.SN,Empresas Copec,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
ECL,ECL.SN,Engie Energía Chile,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
ENELAM,ENELAM.SN,Enel Américas,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
ENELCHILE,ENELCHILE.SN,Enel Chile,accion_local,2580,2016-04-21,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
ENTEL,ENTEL.SN,Entel,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
FALABELLA,FALABELLA.SN,Falabella,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
IAM,IAM.SN,Inversiones Aguas Metropolitanas,accion_local,2908,2015-01-02,2026-09-04,OK,DESCARGA_ACTUAL,2026-09-04T22:25:45+00:00
