alphadata_ticker,fecha_ex,monto,fecha_declarada,tamano,caida_esperada,caida_observada,error,origen
AGUAS-A,2024-12-26,6.3,2025-01-06,0.8519050686012952,-0.0214504596527068,,,fecha por convención (5 ruedas antes de la declarada)
AGUAS-A,2025-04-15,7.92426,2025-04-23,0.914647783527266,-0.0230302836549639,,,fecha por convención (5 ruedas antes de la declarada)
AGUAS-A,2025-11-20,6.86391,2025-11-27,0.7548324914642297,-0.0190062302708091,,,fecha por convención (5 ruedas antes de la declarada)
AGUAS-A,2026-04-20,10.27238,2026-04-27,1.166588322057052,-0.0293739955963512,,,fecha por convención (5 ruedas antes de la declarada)
ANDINA-B,2024-08-02,35.2,2024-08-09,0.3747087431188759,-0.0120966360291804,,,fecha por convención (5 ruedas antes de la declarada)
ANDINA-B,2024-10-14,35.2,2024-10-21,0.36360041258338,-0.0117380283536261,,,fecha por convención (5 ruedas antes de la declarada)
ANDINA-B,2025-01-20,155.1,2025-01-27,1.5772884093510362,-0.0509192383453709,,,fecha por convención (5 ruedas antes de la declarada)
ANDINA-B,2025-10-10,38.5,2025-10-17,0.3137007282762724,-0.0101271283409659,,,fecha por convención (5 ruedas antes de la declarada)
ANDINA-B,2025-12-05,22.0,2025-12-15,0.1611821391628675,-0.0052034058656575,,,fecha por convención (5 ruedas antes de la declarada)
ANDINA-B,2026-04-30,112.2,2026-05-08,0.8218792297384533,-0.0265325378301491,,,fecha por convención (5 ruedas antes de la declarada)
ANDINA-B,2026-08-17,56.1,2026-08-24,0.3800146767194865,-0.0122679262612346,,,fecha por convención (5 ruedas antes de la declarada)
ANTARCHILE,2024-12-02,223.44699,2024-12-09,1.2434913417229634,-0.0312500169368444,,,fecha por convención (5 ruedas antes de la declarada)
ANTARCHILE,2025-04-25,276.192,2025-05-05,1.5474703055149497,-0.0388892721919569,,,fecha por convención (5 ruedas antes de la declarada)
ANTARCHILE,2025-12-05,117.957,2025-12-15,0.6080423192494077,-0.0152806313460407,,,fecha por convención (5 ruedas antes de la declarada)
ANTARCHILE,2026-05-04,191.74536,2026-05-11,0.9674024503688964,-0.0243116634144671,,,fecha por convención (5 ruedas antes de la declarada)
BCI,2025-03-28,1110.0,2025-04-04,0.9752124030085726,-0.0327539813054438,-0.031715,0.0010389813054437966,confirmada por contraste entre fuentes
BCI,2026-03-26,1500.0,2026-04-02,0.7518901753382121,-0.0252533670314263,-0.024631,0.0006223670314263012,confirmada por contraste entre fuentes
BESALCO,2024-11-15,6.0,2024-11-22,0.4358590337019247,-0.0105263157894736,,,fecha por convención (5 ruedas antes de la declarada)
BESALCO,2025-05-02,20.0,2025-05-09,1.0669331392636463,-0.0257672189440593,,,fecha por convención (5 ruedas antes de la declarada)
BESALCO,2025-08-14,5.0,2025-08-22,0.2450356144541007,-0.0059177900604798,,,fecha por convención (5 ruedas antes de la declarada)
BESALCO,2025-11-14,10.0,2025-11-21,0.3366390910705923,-0.008130081300813,,,fecha por convención (5 ruedas antes de la declarada)
BESALCO,2026-04-17,24.0,2026-04-24,0.7973223014356801,-0.0192559191893258,,,fecha por convención (5 ruedas antes de la declarada)
BESALCO,2026-08-07,5.0,2026-08-14,0.167099582728062,-0.0040355776525851,,,fecha por convención (5 ruedas antes de la declarada)
BSANTANDER,2025-04-17,3.185716,2025-04-24,2.116483155860309,-0.0559978209558509,-0.0377922202973277,0.0182056006585231,confirmada por el precio
BSANTANDER,2026-04-23,3.353346,2026-04-30,1.7652525769258822,-0.047464203821656,,,fecha por convención (5 ruedas antes de la declarada)
CCU,2024-11-18,117.5,2024-11-25,0.7161507774445489,-0.0212477396021699,,,fecha por convención (5 ruedas antes de la declarada)
CCU,2025-04-17,100.2847,2025-04-25,0.4662520498407039,-0.013833402763792,,,fecha por convención (5 ruedas antes de la declarada)
CCU,2025-11-17,84.0,2025-11-24,0.4737701528637073,-0.0140564601147944,,,fecha por convención (5 ruedas antes de la declarada)
CCU,2026-04-13,74.52679,2026-04-20,0.4589246719674774,-0.0136160041070838,,,fecha por convención (5 ruedas antes de la declarada)
CENCOMALLS,2024-11-08,85.0,2024-11-15,1.506110613038922,-0.0549095607235142,,,fecha por convención (5 ruedas antes de la declarada)
CENCOMALLS,2025-04-23,31.0,2025-04-30,0.4190719050155788,-0.0152784622966978,,,fecha por convención (5 ruedas antes de la declarada)
CENCOMALLS,2025-11-14,60.0,2025-11-21,0.7056036865098416,-0.0257247961309906,,,fecha por convención (5 ruedas antes de la declarada)
CENCOMALLS,2026-04-29,15.0,2026-05-07,0.1532513806330152,-0.0055872164487652,,,fecha por convención (5 ruedas antes de la declarada)
CENCOSUD,2025-04-25,15.0,2025-05-05,0.1358945143852565,-0.0047244094488188,,,fecha por convención (5 ruedas antes de la declarada)
CENCOSUD,2026-04-30,25.0,2026-05-08,0.3304240515895253,-0.0114872812821643,,,fecha por convención (5 ruedas antes de la declarada)
CHILE,2025-03-17,9.853574,2025-03-21,2.9533684814914625,-0.0763251241994454,-0.0615802147766059,0.0147449094228395,confirmada por el precio
CHILE,2026-03-23,9.99757,2026-03-20,2.093616900436837,-0.0583629294914797,-0.0443666431297102,0.0139962863617694,confirmada por el precio
CMPC,2024-09-11,16.1112,2024-09-23,0.3145637438163382,-0.0107767224080267,,,fecha por convención (5 ruedas antes de la declarada)
CMPC,2024-12-17,16.1112,2024-12-24,0.3075688665830122,-0.010537083060824,,,fecha por convención (5 ruedas antes de la declarada)
CMPC,2025-04-25,16.7825,2025-05-05,0.3358914824230852,-0.0115073950398036,,,fecha por convención (5 ruedas antes de la declarada)
CMPC,2026-04-29,9.50628,2026-05-07,0.2509705465350124,-0.0085980662608648,,,fecha por convención (5 ruedas antes de la declarada)
COLBUN,2024-12-02,5.45671,2024-12-09,1.6607185469122696,-0.0436187855040526,,,fecha por convención (5 ruedas antes de la declarada)
COLBUN,2025-04-25,1.44809,2025-05-05,0.3761602785137916,-0.0098798526301425,,,fecha por convención (5 ruedas antes de la declarada)
COLBUN,2025-12-01,4.26755,2025-12-09,1.161570198755322,-0.0305086502716614,,,fecha por convención (5 ruedas antes de la declarada)
COLBUN,2026-05-04,0.80092,2026-05-11,0.2306641759623977,-0.0060583963691376,,,fecha por convención (5 ruedas antes de la declarada)
CONCHATORO,2024-09-13,4.5,2024-09-25,0.1740289213110151,-0.0041360294117647,,,fecha por convención (5 ruedas antes de la declarada)
CONCHATORO,2024-12-16,4.5,2024-12-23,0.1707335134232502,-0.0040577096483318,,,fecha por convención (5 ruedas antes de la declarada)
