date,Sigma-6,Delta-12,IPSA Total Return,Gamma-6,Conjunto AlphaData,Oro
2021-07-08,100.0,100.0,100.0,100.0,100.0,99.9
2021-07-09,100.0,100.0,101.4247306693154,100.0,100.21684280910223,100.7665038651725
2021-07-12,99.94753777414856,100.0,101.31441969743278,100.0,100.02614853980813,100.05689932869888
2021-07-13,99.75227051379308,100.0,100.2523781326406,100.0,99.84415275424307,99.52471616267601
2021-07-14,99.78171877654556,100.0,99.28847035452324,100.0,100.30868264594015,101.35155879540784
2021-07-15,99.93590532145912,100.0,99.1612068306846,100.0,100.19909091320986,100.75959787304899
2021-07-19,101.06765075308246,100.0,101.05463974633253,100.0,100.68269127203484,101.56145122072188
2021-07-20,101.63921880605838,100.0,102.47960918398532,100.0,100.8856369791499,101.80142578143062
2021-07-21,101.5297422272779,100.0,102.05579538508556,100.0,100.6953768129317,101.15051325942449
2021-07-22,101.42415524353711,100.0,102.38505692237166,100.0,100.53513631186152,100.61567361390509
2021-07-23,100.66355814294386,100.0,99.98400252139363,100.0,100.29620612262269,100.42074508119936
2021-07-26,100.361517500087,100.0,99.01030524144254,100.0,100.45409857687702,101.35342193061362
2021-07-27,100.49044804136334,100.0,99.01818459657702,100.0,100.46274188949337,101.25915899709362
2021-07-28,100.58987005901628,100.0,99.61844819682152,100.0,100.85943206727865,102.74501035188818
2021-07-29,101.66092288093648,100.0,101.56990181845968,100.0,101.2130358073706,103.08802912819738
2021-07-30,101.4113360402112,100.0,101.5252521393643,100.0,100.89619249879757,102.07126052102416
2021-08-02,100.57217762887583,99.8215,100.56206066625916,99.9,100.47491339071014,101.49540631980257
2021-08-03,99.8554184355456,99.21391995309332,100.45055585268948,102.14046446382969,101.07041651823772,102.95987820602257
2021-08-04,99.88854303518706,99.63007251625851,100.55680776283616,102.85577590124888,101.62246822777641,104.00556277618438
2021-08-05,100.3008256883542,99.92537041856592,101.25066855134476,103.74815239381948,101.85725665055269,103.3284143709207
2021-08-06,100.96130133863896,101.07837446300394,102.2520629584352,104.8214106342698,102.08362478531517,101.30728471252613
2021-08-09,100.16343570589412,100.30034269164624,101.32635811430318,106.1226061299119,101.8859015698936,100.776238728225
2021-08-10,101.52209927537425,101.93959029049434,103.75487087408312,106.56865421314374,102.68272711853902,100.50466869252055
2021-08-11,102.35296576445316,102.72428672077774,104.28804057151592,105.95893136197178,103.05969256743,101.01522049897147
2021-08-12,102.65680123621812,103.43742461271917,104.45517840770172,104.72846634874232,102.76880019858713,100.0603293983432
2021-08-13,102.89471332500312,104.10193945842703,105.10438951711492,105.01484393639412,103.5335938895016,101.94508407847138
2021-08-16,102.45188941587512,102.74518834892973,103.37260276589242,104.494239628035,103.10781602783544,102.58408355566502
2021-08-17,102.37056600671411,101.7852808407851,103.16177032396088,103.54262270379229,102.92005901467576,103.8572784965413
2021-08-18,102.68377518489164,101.86618991503498,103.66318383251834,101.9721663168933,102.75702820080701,104.40271277490588
2021-08-19,102.78726523934878,100.15215698054274,102.92133060819071,100.57274814590805,101.84039101386213,103.7672375582389
2021-08-20,102.7815461041816,100.87486953422659,103.80429591992666,102.47531168934226,102.4696286430448,103.63960520052487
2021-08-23,103.12437477604448,101.85825438559753,104.88496141503668,104.62442760572337,103.65857836934714,104.90834898347843
2021-08-24,102.94270328913898,101.82374611198246,104.3281536522005,104.84456024980842,103.57848048902918,104.57761064602201
2021-08-25,103.87683129413728,102.58322287722275,105.96371676344744,105.61706254076407,103.9647874176484,103.63691747027825
2021-08-26,103.5769142568935,102.48029830138358,106.10411254584352,104.83432836564809,103.74274102998044,103.94425960753448
2021-08-27,103.59733548572147,102.19825812251278,106.47205455378976,107.42841993356471,104.7975703657921,105.83222230074523
2021-08-30,103.79624928440217,102.76760645386983,107.60166755806846,106.36367677249775,104.47840554208818,104.8461421761987
2021-08-31,103.8498979026915,101.81690549227875,107.24447012530564,105.66930443416197,104.113503719692,104.99468517441109
2021-09-01,103.59829420520964,100.41039496863444,106.27459313875303,104.2507631831284,103.12781481801215,104.13283033380037
2021-09-02,103.09435504266598,100.41955725541537,105.95201711491444,103.01247514416046,102.47340471551591,103.22346367733908
2021-09-03,102.984695684422,100.71531331591045,106.57544124388754,103.0649333204523,102.7428446854782,104.06410344553748
2021-09-06,103.29185652824702,99.94823360921538,106.39994651589242,103.0649333204523,102.62373429622728,104.06410344553748
