cumulative_return,cagr,annualized_volatility,max_drawdown,observations,strategy,year,afp
0.045067696479694774,0.049845473162533516,0.04229854857592102,-0.07402442999155612,332,Estrategia Horizonte,2012,CUPRUM
0.08591309344273612,0.08597439808654572,0.053448605981540956,-0.0781596764396516,366,Fondo A Cuprum,2012,CUPRUM
0.053018959320722425,0.053056220434142265,0.01233279517350741,-0.013074177319812752,366,Fondo E Cuprum,2012,CUPRUM
0.0699626831910285,0.07001224249827831,0.026462685566434715,-0.031593405703836175,366,Cuprum 50/50,2012,CUPRUM
0.09329843828218753,0.09363338437545199,0.05615696457555905,-0.06886946005435313,365,Estrategia Horizonte,2013,CUPRUM
0.09329843828218753,0.09363338437545199,0.05615696457555905,-0.06886946005435313,365,Fondo A Cuprum,2013,CUPRUM
0.07437944018534726,0.0746441687124253,0.008786847066274398,-0.005130457356305018,365,Fondo E Cuprum,2013,CUPRUM
0.08440217529441463,0.08470396128856228,0.029049874320286998,-0.034748843695169396,365,Cuprum 50/50,2013,CUPRUM
0.1537591817658337,0.15432600001744867,0.05455900094726431,-0.07549077257425096,365,Estrategia Horizonte,2014,CUPRUM
0.1537591817658337,0.15432600001744867,0.05455900094726431,-0.07549077257425096,365,Fondo A Cuprum,2014,CUPRUM
0.1295976788048101,0.13007049237470025,0.013671907816788125,-0.02000009329897645,365,Fondo E Cuprum,2014,CUPRUM
0.14216639773641493,0.14268789221108813,0.03022207122383305,-0.04346201651640558,365,Cuprum 50/50,2014,CUPRUM
0.08107018841009928,0.08135961933725766,0.07443957904241687,-0.07281523805888956,365,Estrategia Horizonte,2015,CUPRUM
0.08107018841009928,0.08135961933725766,0.07443957904241687,-0.07281523805888956,365,Fondo A Cuprum,2015,CUPRUM
0.048925392556677716,0.049097464308873295,0.011612904312156948,-0.011214887961170539,365,Fondo E Cuprum,2015,CUPRUM
0.06582811720963888,0.06606148324405603,0.04007089741487355,-0.03465462971274591,365,Cuprum 50/50,2015,CUPRUM
0.015056702798623034,0.015067092913641389,0.056134758281047595,-0.06602188356949767,366,Estrategia Horizonte,2016,CUPRUM
0.019679887310595667,0.019693498550972244,0.06459665755758877,-0.08385132998062084,366,Fondo A Cuprum,2016,CUPRUM
0.06869462878633237,0.06874326130351993,0.01764236726874892,-0.030241897737621648,366,Fondo E Cuprum,2016,CUPRUM
0.04465173298870395,0.04468298969374418,0.03535270055338149,-0.035495979863072735,366,Cuprum 50/50,2016,CUPRUM
0.17649808267801537,0.17715496483570337,0.04795549214771298,-0.03478805899788062,365,Estrategia Horizonte,2017,CUPRUM
0.17649808267801537,0.17715496483570337,0.04795549214771298,-0.03478805899788062,365,Fondo A Cuprum,2017,CUPRUM
0.021016173105804725,0.021089099754934226,0.01763505218495102,-0.03198554581330382,365,Fondo E Cuprum,2017,CUPRUM
0.0964863485059626,0.09683323810941946,0.02652928538552484,-0.019073415413864425,365,Cuprum 50/50,2017,CUPRUM
-0.007183815369029123,-0.007208395936147638,0.05408144099332472,-0.07379427600376576,365,Estrategia Horizonte,2018,CUPRUM
-0.030069567982692225,-0.030171255226621896,0.06603008414501535,-0.09047132945348935,365,Fondo A Cuprum,2018,CUPRUM
0.05933766828252329,0.05954738795575354,0.01158157273585096,-0.009890434586252606,365,Fondo E Cuprum,2018,CUPRUM
0.014365726462140405,0.014415413197241156,0.035617381826162454,-0.0346558511792725,365,Cuprum 50/50,2018,CUPRUM
0.17723893126742607,0.17789877341557148,0.056309476520839,-0.041819874155138104,365,Estrategia Horizonte,2019,CUPRUM
0.200290457768729,0.20104319822923378,0.05779276498536665,-0.041819874155138215,365,Fondo A Cuprum,2019,CUPRUM
0.11771399358885004,0.11814122283431305,0.06328915445555373,-0.11126283187804709,365,Fondo E Cuprum,2019,CUPRUM
0.1599666046932653,0.16055785716301174,0.040566135152689246,-0.02700668344256607,365,Cuprum 50/50,2019,CUPRUM
-0.0008101879754648378,-0.0008107426737249401,0.13590299210918846,-0.26476354735046936,366,Estrategia Horizonte,2020,CUPRUM
0.037055065953732313,0.037080910987213,0.13945443860498424,-0.26476354735046936,366,Fondo A Cuprum,2020,CUPRUM
0.07107533500075625,0.07112570836659926,0.04794377544353544,-0.05907477226143998,366,Fondo E Cuprum,2020,CUPRUM
0.057407464382768225,0.05744789297462871,0.08004982002367325,-0.16393254170952432,366,Cuprum 50/50,2020,CUPRUM
0.2089374994137334,0.20972548298359928,0.08478055569332538,-0.0501841087994469,365,Estrategia Horizonte,2021,CUPRUM
0.2089374994137334,0.20972548298359928,0.08478055569332538,-0.0501841087994469,365,Fondo A Cuprum,2021,CUPRUM
-0.06723236017698542,-0.06745527254779005,0.06966326163323737,-0.20806627355775165,365,Fondo E Cuprum,2021,CUPRUM
0.06415490235597243,0.0643821593761531,0.05587897776097831,-0.08408736300101649,365,Cuprum 50/50,2021,CUPRUM
-0.003968251666124245,-0.0039818517371478235,0.10732073209698359,-0.13848181191433295,365,Estrategia Horizonte,2022,CUPRUM
-0.10137754769508689,-0.10170734917232982,0.11430522630322952,-0.13848181191433295,365,Fondo A Cuprum,2022,CUPRUM
0.2128872486471065,0.21369140142105003,0.060103112996887746,-0.052740731092283055,365,Fondo E Cuprum,2022,CUPRUM
0.04722499704441585,0.04739095437830909,0.06411779685707833,-0.06598259731940337,365,Cuprum 50/50,2022,CUPRUM
0.11323777802825186,0.11364794975196002,0.07705247366496296,-0.06499107018611017,365,Estrategia Horizonte,2023,CUPRUM
0.12357184536721033,0.12402149044936817,0.07827395356383382,-0.06499107018611028,365,Fondo A Cuprum,2023,CUPRUM
0.0368265679161881,0.036955341337902015,0.054002541315903714,-0.10386778933020702,365,Fondo E Cuprum,2023,CUPRUM
0.08070067640176304,0.08098873935020001,0.05251036542655694,-0.07339332781810648,365,Cuprum 50/50,2023,CUPRUM
0.1372258564474056,0.13732602384656012,0.07408578587581126,-0.06672615661308179,366,Estrategia Horizonte,2024,CUPRUM
0.1372258564474056,0.13732602384656012,0.07408578587581126,-0.06672615661308179,366,Fondo A Cuprum,2024,CUPRUM
0.04838247197968171,0.04841640024883831,0.053598338933685895,-0.08329089976759174,366,Fondo E Cuprum,2024,CUPRUM
0.09336668182851304,0.09343353024020651,0.048273238559134,-0.050155982488567674,366,Cuprum 50/50,2024,CUPRUM
0.18781613240577344,0.1885184095788046,0.06641326597064283,-0.06013778843948314,365,Estrategia Horizonte,2025,CUPRUM
0.18781613240577344,0.1885184095788046,0.06641326597064283,-0.06013778843948314,365,Fondo A Cuprum,2025,CUPRUM
0.1206385320153458,0.12107693919563789,0.05848431904314559,-0.047191982406972754,365,Fondo E Cuprum,2025,CUPRUM
0.15525665831343538,0.15582936055304564,0.04573077124947533,-0.024038732498616988,365,Cuprum 50/50,2025,CUPRUM
0.11330599273036057,0.19801059805437893,0.06833278558857872,-0.036725196641611,218,Estrategia Horizonte,2026,CUPRUM
0.11330599273036057,0.19801059805437893,0.06833278558857872,-0.036725196641611,218,Fondo A Cuprum,2026,CUPRUM
-0.027940909244061674,-0.04657936924598194,0.04689130903492095,-0.05711377856201405,218,Fondo E Cuprum,2026,CUPRUM
