source_kind,source_page,source_line,date,ticker,instrument_type,broker,recommendation,score,unified_action,status,issues,raw_text
estructurada,20,15,2021-07-08,CENCOSUD,accion_local,BCI,Sobreponderar,1.0,COMPRAR,VALIDADA_AUTOMATICA,,"Cencosud S.A CENCOSUD BCI ‘Sobreponderar 2.005,00 1.400,00 » 1.750,00 12.72% 08/07/2021"
estructurada,20,17,2021-07-08,CHILE,accion_local,Credicorp Capital,Comprar,1.0,COMPRAR,VALIDADA_AUTOMATICA,,"Banco de Chile CHILE Credicorp Capital Comprar 188,88 100,00 » 100,00 -47,06% 08/07/2021"
estructurada,20,16,2021-07-08,ENELCHILE,accion_local,Credicorp Capital,Mantener,0.0,MANTENER,VALIDADA_AUTOMATICA,,"Enel Chile S.A. ENELCHILE Credicorp Capital Mantener 82,00 72,00 » 72,00 -12,20% 08/07/2021"
estructurada,20,14,2021-07-09,CENCOSUD,accion_local,Credicorp Capital,Comprar,1.0,COMPRAR,VALIDADA_AUTOMATICA,,"Cencosud S.A. CENCOSUD Credicorp Capital Comprar 2.005,00 1.820,00 » 1.820,00 9.23% 09/07/2021"
estructurada,20,11,2021-07-09,CMPC,accion_local,Credicorp Capital,Comprar,1.0,COMPRAR,VALIDADA_AUTOMATICA,,"Empresas CMPC S.A. cmPc Credicorp Capital Comprar 1.074,00 2.800,00 » 2.800,00 160,71% 09/07/2021"
estructurada,20,12,2021-07-09,COPEC,accion_local,Credicorp Capital,Mantener,0.0,MANTENER,VALIDADA_AUTOMATICA,,"Empresas COPEC S.A cOPEC Credicorp Capital Mantener 6.126,00 10.200,00 » 10.200,00 66.50% 09/07/2021"
estructurada,20,9,2021-07-12,CMPC,accion_local,Credicorp Capital,Comprar,1.0,COMPRAR,VALIDADA_AUTOMATICA,,"Empresas CMPC S.A. cmPc Credicorp Capital Comprar 1.074,00 2.800,00 » 2.800,00 160,71% 12/07/2021"
estructurada,20,4,2021-07-14,BSANTANDER,accion_local,Credicorp Capital,Comprar,1.0,COMPRAR,VALIDADA_AUTOMATICA,,"Banco Santander-Chile BSANTANDER —_Credicorp Capital Comprar 78,16 52,00 » 52,00 -33,47% 14/07/2021"
estructurada,20,6,2021-07-14,ITAUCL,accion_local,Credicorp Capital,Inferior al mercado,-1.0,VENDER,VALIDADA_AUTOMATICA,,"Banco Ita Chile ITAUCL Credicorp Capital Inferior al mercado 20.500,00 2,50 » 2,50 -99,99% 14/07/2021"
no_interpretada,19,21,2021-07-14,SQM-ADR,adr,SCOTIA,Igual al mercado,0.0,MANTENER,VALIDADA_AUTOMATICA,,"de Chile S.A. SQM (ADR) SCOTIA Igual al mercado 43,00 » 43,00 14/07/2021"
estructurada,19,17,2021-07-15,BSANTANDER,accion_local,JPMorgan,Sobreponderar,1.0,COMPRAR,VALIDADA_AUTOMATICA,,"Banco Santander-Chile BSANTANDER JPMorgan Sobreponderar 78,16 28,00 » 26,00 -66,73% 15/07/2021"
estructurada,19,16,2021-07-15,CHILE,accion_local,JPMorgan,Sobreponderar,1.0,COMPRAR,VALIDADA_AUTOMATICA,,"Banco de Chile CHILE (ADR) JPMorgan Sobreponderar 27,00 » 25,00 15/07/2021"
estructurada,19,15,2021-07-15,ITAUCL,accion_local,Credicorp Capital,Inferior al mercado,-1.0,VENDER,VALIDADA_AUTOMATICA,,"Banco Ital Chile ITAUCL Credicorp Capital _ Inferior al mercado 20.500,00 2,50 » 2,20 -99,99% 15/07/2021"
estructurada,19,19,2021-07-15,VAPORES,accion_local,Renta4,Comprar,1.0,COMPRAR,VALIDADA_AUTOMATICA,,"\Vapores S.A. VAPORES Renta4 Comprar 47,20 80,00 » 80,00 69,49% 15/07/2021"
estructurada,19,4,2021-07-19,AESANDES,accion_local,Credicorp Capital,Comprar,1.0,COMPRAR,VALIDADA_AUTOMATICA,,"AES Andes AESANDES Credicorp Capital © Comprar 160,00 » 160,00 19/07/2021"
no_interpretada,19,5,2021-07-19,AESANDES,accion_local,SCOTIA,Igual al mercado,0.0,MANTENER,VALIDADA_AUTOMATICA,,"AES Andes AESANDES SCOTIA Igual al mercado 160,00 » 160,00 19/07/2021"
estructurada,19,8,2021-07-19,BSANTANDER,accion_local,JPMorgan,Sobreponderar,1.0,COMPRAR,VALIDADA_AUTOMATICA,,"Banco Santander-Chile ACR JPMorgan Sobreponderar 26,00 » 26,00 19/07/2021"
estructurada,19,13,2021-07-19,CENCOSHOPP,accion_local,BANCHILE,Comprar,1.0,COMPRAR,VALIDADA_AUTOMATICA,,"Cencosud Shopping CENCOSHOPP: BANCHILE Comprar 1.650,00 » 1.600,00 19/07/2021"
estructurada,19,10,2021-07-19,CENCOSUD,accion_local,JPMorgan,Sobreponderar,1.0,COMPRAR,VALIDADA_AUTOMATICA,,"Cencosud S.A. CENCOSUD JPMorgan Sobreponderar 2.005,00 1.500,00 » 1.500,00 -25,19% 19/07/2021"
estructurada,19,11,2021-07-19,CMPC,accion_local,JPMorgan,Sobreponderar,1.0,COMPRAR,VALIDADA_AUTOMATICA,,"Empresas CMPC S.A. cMPC JPMorgan Sobreponderar 1.074,00 2.600,00 » 2.600,00 142,09% 19/07/2021"
