published_at,available_at,broker,ticker,recommendation,target_price_min,target_price_max,currency,source_url,notes
2021-07-08,2021-07-08,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 20"
2021-07-08,2021-07-08,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 20"
2021-07-09,2021-07-09,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 20"
2021-07-09,2021-07-09,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 20"
2021-07-09,2021-07-09,Credicorp Capital,COPEC,Mantener,,,,,"Histórico validado, página 20"
2021-07-12,2021-07-12,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 20"
2021-07-14,2021-07-14,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 20"
2021-07-14,2021-07-14,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 20"
2021-07-14,2021-07-14,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 20"
2021-07-15,2021-07-15,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 19"
2021-07-19,2021-07-19,Credicorp Capital,AESANDES,Comprar,,,,,"Histórico validado, página 19"
2021-07-26,2021-07-26,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 16"
2021-07-26,2021-07-26,Credicorp Capital,SONDA,Mantener,,,,,"Histórico validado, página 16"
2021-07-26,2021-07-26,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 16"
2021-07-28,2021-07-28,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 15"
2021-07-28,2021-07-28,Credicorp Capital,ECL,Mantener,,,,,"Histórico validado, página 16"
2021-07-28,2021-07-28,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 15"
2021-07-28,2021-07-28,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 15"
2021-08-03,2021-08-03,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 14"
2021-08-03,2021-08-03,Credicorp Capital,COPEC,Mantener,,,,,"Histórico validado, página 14"
2021-08-03,2021-08-03,Credicorp Capital,ENTEL,Comprar,,,,,"Histórico validado, página 14"
2021-08-04,2021-08-04,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 13"
2021-08-04,2021-08-04,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 13"
2021-08-04,2021-08-04,Credicorp Capital,FALABELLA,Comprar,,,,,"Histórico validado, página 13"
2021-08-06,2021-08-06,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 12"
2021-08-06,2021-08-06,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 12"
2021-08-10,2021-08-10,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 12"
2021-08-10,2021-08-10,Credicorp Capital,COPEC,Mantener,,,,,"Histórico validado, página 12"
2021-08-10,2021-08-10,Credicorp Capital,RIPLEY,Comprar,,,,,"Histórico validado, página 12"
2021-08-10,2021-08-10,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 11"
2021-08-11,2021-08-11,Credicorp Capital,COLBUN,Comprar,,,,,"Histórico validado, página 11"
2021-08-12,2021-08-12,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 10"
2021-08-12,2021-08-12,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 10"
2021-08-12,2021-08-12,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 10"
2021-08-13,2021-08-13,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 10"
2021-08-16,2021-08-16,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 9"
2021-08-18,2021-08-18,Credicorp Capital,COPEC,Mantener,,,,,"Histórico validado, página 8"
2021-08-18,2021-08-18,Credicorp Capital,SMSAAM,Comprar,,,,,"Histórico validado, página 8"
2021-08-19,2021-08-19,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 8"
2021-08-19,2021-08-19,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 7"
2021-08-19,2021-08-19,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 8"
2021-08-20,2021-08-20,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 7"
2021-08-24,2021-08-24,Credicorp Capital,COPEC,Mantener,,,,,"Histórico validado, página 6"
2021-08-25,2021-08-25,Credicorp Capital,FALABELLA,Comprar,,,,,"Histórico validado, página 6"
2021-08-25,2021-08-25,Credicorp Capital,ILC,Mantener,,,,,"Histórico validado, página 6"
2021-08-27,2021-08-27,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 5"
2021-08-27,2021-08-27,Credicorp Capital,ILC,Mantener,,,,,"Histórico validado, página 5"
2021-08-30,2021-08-30,Credicorp Capital,AESANDES,Comprar,,,,,"Histórico validado, página 5"
2021-08-30,2021-08-30,Credicorp Capital,RIPLEY,Comprar,,,,,"Histórico validado, página 5"
2021-08-31,2021-08-31,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 4"
2021-08-31,2021-08-31,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 4"
2021-09-02,2021-09-02,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 3"
2021-09-02,2021-09-02,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 3"
2021-09-02,2021-09-02,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 3"
2021-09-02,2021-09-02,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 3"
2021-09-02,2021-09-02,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 3"
2021-09-02,2021-09-02,Credicorp Capital,FALABELLA,Comprar,,,,,"Histórico validado, página 3"
2021-09-02,2021-09-02,Credicorp Capital,SMSAAM,Comprar,,,,,"Histórico validado, página 4"
2021-09-03,2021-09-03,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 3"
2021-09-03,2021-09-03,Credicorp Capital,FALABELLA,Comprar,,,,,"Histórico validado, página 3"
2021-09-06,2021-09-06,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 2"
2021-09-06,2021-09-06,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 2"
2021-09-08,2021-09-08,Credicorp Capital,AESANDES,Comprar,,,,,"Histórico validado, página 1"
2021-09-08,2021-09-08,Credicorp Capital,ECL,Mantener,,,,,"Histórico validado, página 1"
2021-09-08,2021-09-08,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 1"
2021-09-13,2021-09-13,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 39"
2021-09-13,2021-09-13,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 39"
2021-09-14,2021-09-14,Credicorp Capital,HITES,Comprar,,,,,"Histórico validado, página 38"
2021-09-16,2021-09-16,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 37"
2021-09-16,2021-09-16,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 37"
2021-09-16,2021-09-16,Credicorp Capital,ANTARCHILE,Mantener,,,,,"Histórico validado, página 37"
2021-09-16,2021-09-16,Credicorp Capital,BESALCO,Mantener,,,,,"Histórico validado, página 37"
2021-09-16,2021-09-16,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 37"
2021-09-16,2021-09-16,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 37"
2021-09-16,2021-09-16,Credicorp Capital,CCU,Inferior al mercado,,,,,"Histórico validado, página 36"
2021-09-16,2021-09-16,Credicorp Capital,CENCOSHOPP,Comprar,,,,,"Histórico validado, página 37"
2021-09-16,2021-09-16,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 38"
2021-09-16,2021-09-16,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 37"
2021-09-16,2021-09-16,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 38"
2021-09-16,2021-09-16,Credicorp Capital,COLBUN,Comprar,,,,,"Histórico validado, página 36"
2021-09-16,2021-09-16,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 36"
2021-09-16,2021-09-16,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 37"
2021-09-16,2021-09-16,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 36"
2021-09-16,2021-09-16,Credicorp Capital,ECL,Comprar,,,,,"Histórico validado, página 37"
2021-09-16,2021-09-16,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 38"
2021-09-16,2021-09-16,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 38"
2021-09-16,2021-09-16,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 37"
2021-09-16,2021-09-16,Credicorp Capital,FORUS,Comprar,,,,,"Histórico validado, página 37"
2021-09-16,2021-09-16,Credicorp Capital,INDISA,Comprar,,,,,"Histórico validado, página 37"
2021-09-16,2021-09-16,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 37"
2021-09-16,2021-09-16,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 37"
2021-09-20,2021-09-20,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 36"
2021-09-20,2021-09-20,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 36"
2021-09-20,2021-09-20,Credicorp Capital,ENTEL,Comprar,,,,,"Histórico validado, página 36"
