source_page,date,ticker,broker,recommendation,score,current_price_ocr,target_price_ocr,raw_text
20,2021-07-08,CENCOSUD,BCI,Sobreponderar,1,2005.0,1750.0,"Cencosud S.A CENCOSUD BCI ‘Sobreponderar 2.005,00 1.400,00 » 1.750,00 12.72% 08/07/2021"
20,2021-07-09,CENCOSUD,Credicorp Capital,Comprar,1,2005.0,1820.0,"Cencosud S.A. CENCOSUD Credicorp Capital Comprar 2.005,00 1.820,00 » 1.820,00 9.23% 09/07/2021"
20,2021-07-14,BSANTANDER,Credicorp Capital,Comprar,1,78.16,52.0,"Banco Santander-Chile BSANTANDER —_Credicorp Capital Comprar 78,16 52,00 » 52,00 -33,47% 14/07/2021"
19,2021-07-15,BSANTANDER,JPMorgan,Sobreponderar,1,78.16,26.0,"Banco Santander-Chile BSANTANDER JPMorgan Sobreponderar 78,16 28,00 » 26,00 -66,73% 15/07/2021"
19,2021-07-19,BSANTANDER,JPMorgan,Sobreponderar,1,,26.0,"Banco Santander-Chile ACR JPMorgan Sobreponderar 26,00 » 26,00 19/07/2021"
19,2021-07-19,CENCOSUD,JPMorgan,Sobreponderar,1,2005.0,1500.0,"Cencosud S.A. CENCOSUD JPMorgan Sobreponderar 2.005,00 1.500,00 » 1.500,00 -25,19% 19/07/2021"
18,2021-07-20,BSANTANDER,BTG Pactual,Comprar,1,,45.0,"Banco Santander-Chile BSANTANDER _BTG Pactual Comprar 78.16 47,00 » 45,00 -42,43% 20/07/2021"
17,2021-07-22,BSANTANDER,MBI,Comprar,1,78.16,43.9,"Banco Santander-Chile BSANTANDER MBI Comprar 78,16 43,90 » 43,90 -43,83% 22/07/2021"
16,2021-07-26,SQM-B,Credicorp Capital,Mantener,0,66050.0,42000.0,"Soceaaa Guimica yMinera sam-B Credicorp Capital Mantener 66.050,00 42.000,00 » 42.000,00 -26,41% 26/07/2021"
14,2021-08-02,CENCOSUD,BCI,Sobreponderar,1,2005.0,1750.0,"Cencosud S.A. CENCOSUD BCI Sobreponderar 2.005,00 1.750,00 » 1.750,00 -12,72% 02/08/2021"
14,2021-08-03,CENCOSUD,Credicorp Capital,Comprar,1,2005.0,1820.0,"Cencosud S.A. CENCOSUD Credicorp Capital © Comprar 2.005,00 1.820,00 » 1.820,00 -9,23% 03/08/2021"
13,2021-08-04,CENCOSUD,Credicorp Capital,Comprar,1,2005.0,1820.0,"Cencosud S.A. CENCOSUD Credicorp Capital Comprar 2.005,00 1.820,00 » 1.820,00 -9,23% 04/08/2021"
13,2021-08-04,FALABELLA,BICE,Comprar,1,5853.0,3835.0,"SACI. Falabella FALABELLA BICE Comprar 5.853,00 3.835,00 » 3.835,00 -34,48% 04/08/2021"
13,2021-08-04,FALABELLA,Credicorp Capital,Comprar,1,5853.0,3470.0,"SACL. Falabella FALABELLA Credicorp Capital Comprar 5.853,00 3.470,00 » 3.470,00 ~40,71% 04/08/2021"
12,2021-08-09,CENCOSUD,SCOTIA,Comprar,1,2005.0,2000.0,"Cencosud S.A. CENCOSUD SCOTIA Comprar 2.005,00 1.750,00 » 2.000,00 0.25% 09/08/2021"
11,2021-08-11,BSANTANDER,BTG Pactual,Comprar,1,78.16,45.0,"Banco Santander-Chile BSANTANDER —_BTG Pactual Comprar 78,16 45,00 » 45,00 -42,43% 11/08/2021"
10,2021-08-12,CENCOSUD,Credicorp Capital,Comprar,1,2005.0,1820.0,"Cencosud S.A. CENCOSUD Credicorp Capital Comprar 2.005,00 1.820,00 » 1.820,00 -9,23% 12/08/2021"
10,2021-08-13,CENCOSUD,BTG Pactual,Comprar,1,2005.0,1850.0,"Cencosud S.A. CENCOSUD BTG Pactual Comprar 2.005,00 1.850,00 » 1.850,00 1.73% 13/08/2021"
10,2021-08-13,CENCOSUD,Credicorp Capital,Comprar,1,2005.0,1820.0,"Cencosud S.A. CENCOSUD Credicorp Capital Comprar 2.005,00 1.820,00 » 1.820,00 -9,23% 13/08/2021"
10,2021-08-13,CENCOSUD,Goldman Sachs,Vender,-1,2005.0,1180.0,"Cencosud S.A. CENCOSUD Goldman Sachs Vender 2.005,00 1.180,00 » 1.180,00 -41,15% 13/08/2021"
8,2021-08-19,SQM-B,BICE,Mantener,0,66050.0,35184.0,"Sociedad Quimicay Minera sany.p BICE Mantener 66.050,00 35.184,00 » 35.184,00 -46,73% 19/08/2021"
8,2021-08-19,SQM-B,Credicorp Capital,Mantener,0,66050.0,42000.0,"Se yMinera sqM-B Credicorp Capital Mantener 66.050,00 42.000,00 » 42.000,00 -36,41% 19/08/2021"
6,2021-08-25,CENCOSUD,BTG Pactual,Comprar,1,2005.0,1850.0,"Cencosud S.A. CENCOSUD BTG Pactual Comprar 2.005,00 1.850,00 » 1.850,00 7.73% 25/08/2021"
6,2021-08-25,FALABELLA,Credicorp Capital,Comprar,1,5853.0,3470.0,"SAC. Falabella FALABELLA Credicorp Capital Comprar 5.853,00 3.470,00 » 3.470,00 -40,71% 25/08/2021"
4,2021-09-01,FALABELLA,BANCHILE,Neutral,0,5853.0,3650.0,"SAC. Falabella FALABELLA BANCHILE Neutral 5.853,00 3.650,00 » 3.650,00 -37,64% 01/09/2021"
4,2021-09-01,FALABELLA,JPMorgan,Neutral,0,853.0,3450.0,"SAC.. Falabella FALABELLA JPMorgan Neutral §.853,00 3.450,00 » 3.450,00 -41,06% 01/09/2021"
3,2021-09-02,BSANTANDER,Credicorp Capital,Comprar,1,78.16,52.0,"Banco Santander-Chile BSANTANDER Credicorp Capital © Comprar 78,16 52,00 » 52,00 -33,47% 02/09/2021"
3,2021-09-02,CENCOSUD,Credicorp Capital,Comprar,1,2005.0,1820.0,"Cencosud S.A. CENCOSUD Credicorp Capital © Comprar 2.005,00 1.820,00 » 1.820,00 -9,23% 02/09/2021"
3,2021-09-02,FALABELLA,Credicorp Capital,Comprar,1,5853.0,3470.0,"S.AC.I. Falabella FALABELLA Credicorp Capital © Comprar 5.853,00 3.470,00 » 3.470,00 ~40,71% 02/09/2021"
3,2021-09-03,CENCOSUD,Credicorp Capital,Comprar,1,2005.0,1820.0,"Cencosud S.A. CENCOSUD Credicorp Capital © Comprar 2.005,00 1.820,00 » 1.820,00 -9,23% 03/09/2021"
3,2021-09-03,FALABELLA,Credicorp Capital,Comprar,1,5853.0,3470.0,"S.AC.I. Falabella FALABELLA Credicorp Capital © Comprar 5.853,00 3.470,00 » 3.470,00 -40,71% 03/09/2021"
2,2021-09-06,CENCOSUD,Credicorp Capital,Comprar,1,2005.0,1820.0,"Cencosud S.A. CENCOSUD Credicorp Capital ‘Comprar 2.005,00 1.820,00 » 1.820,00 -9,23% 06/09/2021"
2,2021-09-07,CENCOSUD,BICE,Comprar,1,2005.0,1748.0,"Cencosud S.A. CENCOSUD BICE ‘Comprar 2.005,00 1.748,00 » 1.748,00 -12,82% 07/09/2021"
2,2021-09-07,FALABELLA,BICE,Comprar,1,5853.0,3835.0,"SAC Falabella FALABELLA BICE Comprar 5.853,00 3.835,00 » 3.835,00 -34,48% 07/09/2021"
1,2021-09-09,CENCOSUD,BTG Pactual,Comprar,1,2005.0,1850.0,"Cencosud S.A. CENCOSUD BTG Pactual Comprar 2.005,00 1.850,00 » 1.850,00 -7,73% 09/09/2021"
40,2021-09-09,SQM-B,Morgan Stanley,Subponderar,-1,,45.0,"Sociedad Quimica y Minera sam (apr) Morgan Stanley Subponderar 45,00 » 45,00 09/09/2021"
40,2021-09-10,BSANTANDER,MBI,Comprar,1,78.16,43.9,"Banco Santander-Chile BSANTANDER MBI Comprar 78,16 43,90 » 43,90 -43,83% 10/09/2021"
39,2021-09-10,CENCOSUD,MBI,Comprar,1,2005.0,1610.0,"Cencosud S.A. CENCOSUD MBI Comprar 2.005,00 1.610,00 » 1.610,00 -19,70% 10/09/2021"
39,2021-09-13,BSANTANDER,JPMorgan,Sobreponderar,1,,26.0,"Banco Santander-Chile faon) JPMorgan ‘Sobreponderar 26,00 » 26,00 13/09/2021"
37,2021-09-16,BSANTANDER,Credicorp Capital,Comprar,1,78.16,51.0,"Banco Santander-Chile BSANTANDER —Credicorp Capital Comprar 78,16 52,00 » 51,00 -34,75% 16/09/2021"
38,2021-09-16,CENCOSUD,Credicorp Capital,Comprar,1,2005.0,2000.0,"Cencosud S.A. CENCOSUD Credicorp Capital © Comprar 2.005,00 1.820,00 » 2.000,00 0.25% 16/09/2021"
37,2021-09-16,FALABELLA,Credicorp Capital,Mantener,0,5853.0,3750.0,"SACL Falabella FALABELLA Credicorp Capital Mantener 5.853,00 3.470,00 » 3.750,00 -35,93% 16/09/2021"
35,2021-09-22,BSANTANDER,Credicorp Capital,Comprar,1,78.16,51.0,"Banco Santander-Chile BSANTANDER —Credicorp Capital Comprar 78,16 51,00 » 51,00 -34,75% 22/09/2021"
35,2021-09-22,CENCOSUD,BCI,Sobreponderar,1,2005.0,1750.0,"Cencosud S.A. CENCOSUD BCI ‘Sobreponderar 2.005,00 1.750,00 » 1.750,00 -12,72% 22/09/2021"
