published_at,available_at,broker,ticker,recommendation,target_price_min,target_price_max,currency,source_url,notes,row_number,broker_normalized,signal,published_at_parsed,available_at_parsed
2021-07-08,2021-07-08,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 20",2,Credicorp Capital,1,2021-07-08,2021-07-08
2021-07-08,2021-07-08,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 20",3,Credicorp Capital,0,2021-07-08,2021-07-08
2021-07-09,2021-07-09,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 20",4,Credicorp Capital,1,2021-07-09,2021-07-09
2021-07-09,2021-07-09,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 20",5,Credicorp Capital,1,2021-07-09,2021-07-09
2021-07-09,2021-07-09,Credicorp Capital,COPEC,Mantener,,,,,"Histórico validado, página 20",6,Credicorp Capital,0,2021-07-09,2021-07-09
2021-07-12,2021-07-12,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 20",7,Credicorp Capital,1,2021-07-12,2021-07-12
2021-07-14,2021-07-14,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 20",8,Credicorp Capital,1,2021-07-14,2021-07-14
2021-07-14,2021-07-14,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 20",9,Credicorp Capital,1,2021-07-14,2021-07-14
2021-07-14,2021-07-14,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 20",10,Credicorp Capital,-1,2021-07-14,2021-07-14
2021-07-15,2021-07-15,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 19",11,Credicorp Capital,-1,2021-07-15,2021-07-15
2021-07-26,2021-07-26,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 16",13,Credicorp Capital,-1,2021-07-26,2021-07-26
2021-07-26,2021-07-26,Credicorp Capital,SONDA,Mantener,,,,,"Histórico validado, página 16",14,Credicorp Capital,0,2021-07-26,2021-07-26
2021-07-26,2021-07-26,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 16",15,Credicorp Capital,0,2021-07-26,2021-07-26
2021-07-28,2021-07-28,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 15",16,Credicorp Capital,1,2021-07-28,2021-07-28
2021-07-28,2021-07-28,Credicorp Capital,ECL,Mantener,,,,,"Histórico validado, página 16",17,Credicorp Capital,0,2021-07-28,2021-07-28
2021-07-28,2021-07-28,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 15",18,Credicorp Capital,0,2021-07-28,2021-07-28
2021-07-28,2021-07-28,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 15",19,Credicorp Capital,1,2021-07-28,2021-07-28
2021-08-03,2021-08-03,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 14",20,Credicorp Capital,1,2021-08-03,2021-08-03
2021-08-03,2021-08-03,Credicorp Capital,COPEC,Mantener,,,,,"Histórico validado, página 14",21,Credicorp Capital,0,2021-08-03,2021-08-03
2021-08-03,2021-08-03,Credicorp Capital,ENTEL,Comprar,,,,,"Histórico validado, página 14",22,Credicorp Capital,1,2021-08-03,2021-08-03
2021-08-04,2021-08-04,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 13",23,Credicorp Capital,1,2021-08-04,2021-08-04
2021-08-04,2021-08-04,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 13",24,Credicorp Capital,1,2021-08-04,2021-08-04
2021-08-04,2021-08-04,Credicorp Capital,FALABELLA,Comprar,,,,,"Histórico validado, página 13",25,Credicorp Capital,1,2021-08-04,2021-08-04
2021-08-06,2021-08-06,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 12",26,Credicorp Capital,1,2021-08-06,2021-08-06
2021-08-06,2021-08-06,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 12",27,Credicorp Capital,0,2021-08-06,2021-08-06
2021-08-10,2021-08-10,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 12",28,Credicorp Capital,1,2021-08-10,2021-08-10
2021-08-10,2021-08-10,Credicorp Capital,COPEC,Mantener,,,,,"Histórico validado, página 12",29,Credicorp Capital,0,2021-08-10,2021-08-10
2021-08-10,2021-08-10,Credicorp Capital,RIPLEY,Comprar,,,,,"Histórico validado, página 12",30,Credicorp Capital,1,2021-08-10,2021-08-10
2021-08-10,2021-08-10,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 11",31,Credicorp Capital,1,2021-08-10,2021-08-10
2021-08-11,2021-08-11,Credicorp Capital,COLBUN,Comprar,,,,,"Histórico validado, página 11",32,Credicorp Capital,1,2021-08-11,2021-08-11
2021-08-12,2021-08-12,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 10",33,Credicorp Capital,1,2021-08-12,2021-08-12
2021-08-12,2021-08-12,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 10",34,Credicorp Capital,1,2021-08-12,2021-08-12
2021-08-12,2021-08-12,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 10",35,Credicorp Capital,1,2021-08-12,2021-08-12
2021-08-13,2021-08-13,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 10",36,Credicorp Capital,1,2021-08-13,2021-08-13
2021-08-16,2021-08-16,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 9",37,Credicorp Capital,1,2021-08-16,2021-08-16
2021-08-18,2021-08-18,Credicorp Capital,COPEC,Mantener,,,,,"Histórico validado, página 8",38,Credicorp Capital,0,2021-08-18,2021-08-18
2021-08-18,2021-08-18,Credicorp Capital,SMSAAM,Comprar,,,,,"Histórico validado, página 8",39,Credicorp Capital,1,2021-08-18,2021-08-18
2021-08-19,2021-08-19,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 8",40,Credicorp Capital,0,2021-08-19,2021-08-19
2021-08-19,2021-08-19,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 7",41,Credicorp Capital,1,2021-08-19,2021-08-19
2021-08-19,2021-08-19,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 8",42,Credicorp Capital,0,2021-08-19,2021-08-19
2021-08-20,2021-08-20,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 7",43,Credicorp Capital,1,2021-08-20,2021-08-20
2021-08-24,2021-08-24,Credicorp Capital,COPEC,Mantener,,,,,"Histórico validado, página 6",44,Credicorp Capital,0,2021-08-24,2021-08-24
2021-08-25,2021-08-25,Credicorp Capital,FALABELLA,Comprar,,,,,"Histórico validado, página 6",45,Credicorp Capital,1,2021-08-25,2021-08-25
2021-08-25,2021-08-25,Credicorp Capital,ILC,Mantener,,,,,"Histórico validado, página 6",46,Credicorp Capital,0,2021-08-25,2021-08-25
2021-08-27,2021-08-27,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 5",47,Credicorp Capital,0,2021-08-27,2021-08-27
2021-08-27,2021-08-27,Credicorp Capital,ILC,Mantener,,,,,"Histórico validado, página 5",48,Credicorp Capital,0,2021-08-27,2021-08-27
2021-08-30,2021-08-30,Credicorp Capital,RIPLEY,Comprar,,,,,"Histórico validado, página 5",50,Credicorp Capital,1,2021-08-30,2021-08-30
2021-08-31,2021-08-31,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 4",51,Credicorp Capital,0,2021-08-31,2021-08-31
2021-08-31,2021-08-31,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 4",52,Credicorp Capital,1,2021-08-31,2021-08-31
2021-09-02,2021-09-02,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 3",53,Credicorp Capital,1,2021-09-02,2021-09-02
2021-09-02,2021-09-02,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 3",54,Credicorp Capital,1,2021-09-02,2021-09-02
2021-09-02,2021-09-02,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 3",55,Credicorp Capital,1,2021-09-02,2021-09-02
2021-09-02,2021-09-02,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 3",56,Credicorp Capital,1,2021-09-02,2021-09-02
2021-09-02,2021-09-02,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 3",57,Credicorp Capital,1,2021-09-02,2021-09-02
2021-09-02,2021-09-02,Credicorp Capital,FALABELLA,Comprar,,,,,"Histórico validado, página 3",58,Credicorp Capital,1,2021-09-02,2021-09-02
2021-09-02,2021-09-02,Credicorp Capital,SMSAAM,Comprar,,,,,"Histórico validado, página 4",59,Credicorp Capital,1,2021-09-02,2021-09-02
2021-09-03,2021-09-03,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 3",60,Credicorp Capital,1,2021-09-03,2021-09-03
2021-09-03,2021-09-03,Credicorp Capital,FALABELLA,Comprar,,,,,"Histórico validado, página 3",61,Credicorp Capital,1,2021-09-03,2021-09-03
2021-09-06,2021-09-06,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 2",62,Credicorp Capital,1,2021-09-06,2021-09-06
2021-09-06,2021-09-06,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 2",63,Credicorp Capital,1,2021-09-06,2021-09-06
2021-09-08,2021-09-08,Credicorp Capital,ECL,Mantener,,,,,"Histórico validado, página 1",65,Credicorp Capital,0,2021-09-08,2021-09-08
2021-09-08,2021-09-08,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 1",66,Credicorp Capital,0,2021-09-08,2021-09-08
