alphadata_ticker,date,columna,guardado,recibido
USDCLP,2026-09-18,open,960.6500244140624,960.0700073242188
USDCLP,2026-09-18,high,960.6500244140624,960.969970703125
USDCLP,2026-09-18,low,959.0,959.2100219726562
USDCLP,2026-09-18,close,959.0,960.0700073242188
AAPL,2026-09-18,volume,86433100.0,86588200.0
ABT,2026-09-18,volume,27061600.0,27075300.0
AMZN,2026-09-18,volume,52148900.0,52274700.0
BAC,2026-09-18,volume,52425000.0,52483900.0
CVX,2026-09-18,volume,47279400.0,47298700.0
DIS,2026-09-18,volume,19115700.0,19139700.0
FCX,2026-09-18,volume,14953700.0,14993200.0
GOOG,2026-09-18,volume,34044600.0,34108900.0
GOOGL,2026-09-18,volume,47526100.0,47631800.0
INTC,2026-09-18,volume,174679000.0,174996700.0
JNJ,2026-09-18,volume,16409300.0,16428400.0
KO,2026-09-18,volume,28016400.0,28048200.0
MCD,2026-09-18,volume,9565500.0,9577400.0
MRK,2026-09-18,volume,31139100.0,31159700.0
MS,2026-09-18,volume,7435500.0,7446500.0
MSFT,2026-09-18,volume,39544100.0,39622300.0
NKE,2026-09-18,volume,51821000.0,52053600.0
NVDA,2026-09-18,volume,189683500.0,190287400.0
PFE,2026-09-18,volume,75539800.0,75593400.0
SBUX,2026-09-18,volume,13081300.0,13095200.0
V,2026-09-18,volume,19569700.0,19583000.0
WFC,2026-09-18,volume,25000700.0,25025000.0
WMT,2026-09-18,volume,45292900.0,45337600.0
XOM,2026-09-18,volume,37605100.0,37640600.0
