fecha,vc_a,vc_e,vc_d,razon_45,senal_45,pos_45,razon_64,senal_64,pos_64,razon_90,senal_90,pos_90,razon_105,senal_105,pos_105,razon_126,senal_126,pos_126,votos,posicion,acum_a,acum_voto,acum_45_e,acum_45_d,acum_64_e,acum_64_d,acum_90_e,acum_90_d,acum_105_e,acum_105_d,acum_126_e,acum_126_d,aviso,aviso_estado
2002-08-01,10000.00,13408.81,10000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,10038.80,13931.11,10019.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-01,9988.76,13901.08,9985.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-02,9915.49,13881.15,9962.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-03,9959.10,13924.45,9988.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-04,9945.12,13937.21,10011.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-07,9940.09,13925.37,10004.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-08,9911.77,13963.07,10008.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-09,9811.32,13976.94,9988.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-10,9802.22,14020.50,10015.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-11,9743.08,14007.47,10006.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-14,9727.28,13997.47,9977.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-15,9813.75,14012.27,10012.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-16,9820.52,14010.92,10003.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-17,9885.39,14017.03,10014.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
