variante,cobertura,posiciones,sel_anual,sel_mdd,ev_anual,ev_mdd,ops,rango_sel,rango_ev
LarrainVial Estudios,0.9619771863117871,7.604562737642586,0.09278951072446806,-0.11469127617585251,0.1881260165315357,-0.12104424471944819,296,1,5
Consenso-6 (v1.0.0),,29.692015209125476,0.07750201141230773,-0.21595490244912252,0.2595945853461308,-0.11568545636376015,61,2,2
BCI,0.9699570815450643,6.418250950570342,0.06449065608350346,-0.12209380534533032,0.13410338025537305,-0.12103703618183392,292,3,8
Credicorp Capital,0.973753280839895,7.760456273764259,0.04480482802550889,-0.12358396616297584,0.2647265122521145,-0.13354847083579713,340,4,1
MBI,1.0,4.0494296577946765,0.043230232298527405,-0.12055826745458442,0.09339007624708784,-0.13678662010008014,223,5,10
BICE,0.9884057971014493,4.889733840304182,0.035270529709168,-0.12826138282756516,0.15869258685359866,-0.10022430781671543,249,6,7
Itaú,1.0,5.152091254752852,0.030289313126042883,-0.14331052439018588,0.20698242119025445,-0.12966783266704962,194,7,3
Morgan Stanley,1.0,1.2623574144486691,0.028323344413837104,-0.04660041970529116,0.051309678429217076,-0.04129226844002787,45,8,14
SANTANDER,0.9633333333333334,3.1368821292775664,0.026323384159237406,-0.09962898593211278,0.06327617051531709,-0.09346679257939705,152,9,13
Security,0.9913793103448276,2.76425855513308,0.016205925679743993,-0.08672902349318656,0.0886257686703007,-0.0652023644076728,99,10,11
BTG Pactual,1.0,5.973384030418251,0.005421185832771291,-0.12311216956523763,0.20497971476494992,-0.10123306635914031,210,11,4
JPMorgan,1.0,3.7338403041825097,0.0007297126772234375,-0.09424343975345117,0.11927017471023982,-0.16244160546438524,168,12,9
SCOTIA,1.0,2.11787072243346,-0.002662645494914573,-0.09458542714510465,0.007732920053207248,-0.07945819501415796,107,13,15
Goldman Sachs,1.0,1.5133079847908746,-0.004041645861223242,-0.05058274845297517,0.0804116390261298,-0.09861021359202349,74,14,12
BANCHILE,1.0,5.904942965779468,-0.018907438534525922,-0.12653368228117434,0.16128779432223972,-0.1217142179167009,277,15,6
