variante,cobertura,posiciones,sel_anual,sel_mdd,ev_anual,ev_mdd,ops,rango_sel,rango_ev
LarrainVial Estudios,0.9619771863117871,7.604562737642586,0.10352593633014484,-0.1127372257305832,0.19675226452173789,-0.12009499557175529,296,1,5
Consenso-6 (v1.0.0),,29.692015209125476,0.07934574032741493,-0.2159549024491223,0.26201466744494994,-0.11501376586512524,61,2,2
BCI,0.9699570815450643,6.418250950570342,0.07449666295756852,-0.11853404694019687,0.14362618042619069,-0.11928110511259304,292,3,8
Credicorp Capital,0.973753280839895,7.760456273764259,0.06075432759298183,-0.1192878905657423,0.2739761765541,-0.13330324113401926,340,4,1
MBI,1.0,4.0494296577946765,0.05175986601091931,-0.11265294501627843,0.101899784624357,-0.13476937450767656,223,5,10
BICE,0.9884057971014493,4.889733840304182,0.045344289358894674,-0.12605268244140666,0.16776376814257032,-0.0996605706933531,249,6,7
Itaú,1.0,5.152091254752852,0.038086547437058416,-0.13939633222998327,0.21366413750356084,-0.1285703923138668,194,7,4
SANTANDER,0.9633333333333334,3.1368821292775664,0.03260376309374613,-0.09724539643747765,0.0687845795079749,-0.09145452232573914,152,8,13
Morgan Stanley,1.0,1.2623574144486691,0.029723895764816488,-0.04660041970529072,0.05336453610927405,-0.0395109744935368,45,9,14
Security,0.9913793103448276,2.76425855513308,0.02124215110843375,-0.08521051083874098,0.09162407663024585,-0.06325260477537509,99,10,11
BTG Pactual,1.0,5.973384030418251,0.013820539086176087,-0.11661099265578745,0.21443362748874506,-0.10070060733258157,210,11,3
JPMorgan,1.0,3.7338403041825097,0.008774797870201967,-0.08696083023370971,0.12438902052876832,-0.16087765850318103,168,12,9
SCOTIA,1.0,2.11787072243346,0.0018413525190708047,-0.089186237795846,0.012244575629041687,-0.07175622040192198,107,13,15
Goldman Sachs,1.0,1.5133079847908746,-0.0016020117318219507,-0.04828899767218309,0.08366341810061217,-0.09681873423549425,74,14,12
BANCHILE,1.0,5.904942965779468,-0.0072736072175109134,-0.11913084516186478,0.17354985111455967,-0.11954474853978836,277,15,6
