ticker,sesiones,desde,cagr,vol,mdd,Sigma-6,meses_comunes,Delta-12,Gamma-6,Conjunto AlphaData,nombre,categoria,aporte
FXI,2945,2015-01-02,0.04727330328302659,38.44601557755148,-0.994432628252921,-0.010279908039699416,60,-0.038068480247462025,0.08921708907986282,0.028059174627553213,iShares China Large-Cap,pais,diversifica
MCHI,2945,2015-01-02,0.06418661086495625,38.46709139523566,-0.9943384620043253,-0.0008319602532281305,60,-0.05257657860139501,0.1357091669411465,0.0512375195417554,iShares MSCI China,pais,diversifica
IAU,2945,2015-01-02,0.15960167179051887,38.690941022261306,-0.9937983472162687,-0.043548580072718425,60,-0.06453463092415888,0.21436319012426117,0.07098341057432675,iShares Gold Trust,commodity,diversifica
EWH,2945,2015-01-02,0.08326864069926598,38.408694650919955,-0.9933855375344423,-0.005377901374277793,60,0.02357773832565811,0.17556060956804684,0.1037373817807835,iShares MSCI Hong Kong,pais,diversifica
INDA,2945,2015-01-02,0.0932796174157493,38.60780124022027,-0.9938099936182844,-0.12951478538067168,60,-0.15888901747430728,0.41736057417902683,0.10500423987866682,iShares MSCI India,pais,diversifica
HYG,2945,2015-01-02,0.08457317047675406,38.61958530461824,-0.9925639061458155,-0.24488992017432226,60,-0.2672137720181212,0.6251008293525262,0.12316870583609663,iShares iBoxx High Yield Corporate Bond,bono_corporativo,diversifica
LQD,2945,2015-01-02,0.06486595787156801,38.60791396939097,-0.9930027927852245,-0.2167867003254966,60,-0.25807504105097345,0.6234912379770419,0.1381118223737647,iShares iBoxx Investment Grade Corporate Bond,bono_corporativo,diversifica
TLT,2945,2015-01-02,0.02914170739405808,38.62709197227211,-0.9937187211260448,-0.15197840607918736,60,-0.19715309423136593,0.5376299212439472,0.14478208282600533,iShares 20+ Year Treasury Bond,bono_soberano,diversifica
IYE,2945,2015-01-02,0.11335460088905802,38.51183217208184,-0.9925497126453076,-0.06513089129420778,60,0.02201622119160761,0.3175824496892326,0.15534177147599798,iShares U.S. Energy,sector_us,aporta
IYK,2945,2015-01-02,0.1329105998707063,38.614202747532076,-0.992917047346825,-0.08785214773011346,60,-0.07327464437801443,0.4786440047313759,0.19284100648374528,iShares U.S. Consumer Staples,sector_us,aporta
CFIETFCD,1713,2019-11-04,0.04857250796231405,0.008031729136658797,-0.015476112604651204,0.24557512748966664,60,0.14947550235259516,0.060064000396697584,0.20092571276391447,ETF local — mandato por confirmar,local_por_confirmar,aporta
EMB,2945,2015-01-02,0.0762781228127114,38.6078129114005,-0.9929858072262501,-0.1502232647470274,60,-0.20195910274446568,0.6749670781418606,0.21848903710382536,iShares J.P. Morgan USD Emerging Markets Bond,bono_emergente,aporta
CFIETFCC,1904,2019-01-25,0.06255300422793031,0.03086272427642498,-0.10473864891253926,0.16600077939466143,60,0.2665053809275376,0.07954965132296829,0.22804810097704595,ETF local — mandato por confirmar,local_por_confirmar,aporta
IDU,2945,2015-01-02,0.12205058726151341,38.522552429474324,-0.9928927249542969,-0.1357124757839776,60,-0.05234588499349468,0.5998069232774077,0.24773193141242014,iShares U.S. Utilities,sector_us,aporta
IYZ,2945,2015-01-02,0.09792245523511167,38.86099776527866,-0.9924861679649878,-0.06822779405184025,60,-0.022423577288732923,0.5552724116934235,0.2648189694097912,iShares U.S. Telecommunications,sector_us,aporta
EWT,2945,2015-01-02,0.21932258552733863,38.68176788512817,-0.9930107367266452,-0.0039098700075571625,60,-0.01905739739253718,0.5065803567514221,0.2669060754424592,iShares MSCI Taiwan,pais,aporta
AAXJ,2945,2015-01-02,0.11976544546206291,38.62705204946449,-0.9934341251667679,0.053826377316417366,60,0.0027817740050575775,0.46892718539161976,0.28015701185202185,iShares MSCI All Country Asia ex Japan,region,aporta
IYH,2945,2015-01-02,0.13813171481190523,38.87904866867238,-0.9933736864265859,-0.09389221595005084,60,-0.09593695244678063,0.6769355846700815,0.2888873767485846,iShares U.S. Healthcare,sector_us,aporta
HDV,2945,2015-01-02,0.13776611329293265,38.53378815896184,-0.9925642395595223,-0.056550438343875374,60,-0.03192694931041015,0.6258099580406963,0.3042232061955953,iShares Core High Dividend,estilo,aporta
EWU,2945,2015-01-02,0.10631555628320766,38.61202758984713,-0.9936701040773901,0.025700283075541484,60,-0.006364131276356017,0.545669526698608,0.3062445560567313,iShares MSCI United Kingdom,pais,aporta
EPP,2945,2015-01-02,0.10377312551718498,38.35184501386227,-0.9928772707448692,0.02247970898261573,60,0.03720482594581226,0.5264596836304608,0.3130690967255175,iShares MSCI Pacific ex-Japan,region,aporta
EWP,2945,2015-01-02,0.12565591503013307,38.75509425020424,-0.9940551072097268,0.16066661927298223,60,0.087240445057777,0.38852539822744503,0.317705820757227,iShares MSCI Spain,pais,aporta
IYR,2945,2015-01-02,0.09385553028303195,38.6507965331249,-0.9931542822122666,-0.03753847734925111,60,-0.0035310064455466614,0.6341390675704559,0.32900244242478655,iShares U.S. Real Estate,sector_us,aporta
IYF,2945,2015-01-02,0.15894342921928684,38.609036064873436,-0.9925560734753583,-0.015955739088547406,60,-0.09243009407207838,0.6927401755464315,0.3320363571081093,iShares U.S. Financials,sector_us,aporta
