ticker,bolsa chilena,meses_bolsa chilena,bolsa EE.UU.,meses_bolsa EE.UU.
AAXJ,0.3295213898780324,217.0,0.6342938203513154,217.0
ACWI,0.25186545214003203,222.0,0.9587269043926109,222.0
CFIETFCC,0.36802788007245046,92.0,0.12426796703457942,92.0
CFIETFCD,0.1425806566907459,82.0,-0.00037311143122926174,82.0
CFIETFGE,0.16705608890030268,92.0,0.5769177199664051,92.0
CFIETFIPSA,,0.0,,0.0
CFIETFLP,,0.0,,0.0
CFINASDAQ,0.07287161932658626,59.0,0.8047865402641138,59.0
CFISPETF,0.12357027101113816,54.0,0.8267373971160406,54.0
CFMITNIPSA,0.9333841876889355,157.0,0.11017512664877359,157.0
DGRO,0.14675605098922317,147.0,0.9438525331726252,147.0
ECH,,,0.1853153172710621,226.0
EEM,0.4228588296723478,226.0,0.6445553531134921,273.0
EMB,0.032741125226893354,225.0,0.6377826305034688,225.0
EPP,0.3657340932393476,226.0,0.7135220634340482,273.0
EPU,0.36802815177184445,207.0,0.32926425490531536,207.0
EWA,0.34685161454913516,226.0,0.7010115497043081,273.0
EWG,0.3232585245854083,226.0,0.7683449926984249,273.0
EWH,0.30623123901240323,226.0,0.5234954192546101,273.0
EWI,0.33163470416530494,226.0,0.6830253410480401,273.0
EWJ,0.13429680253491877,226.0,0.7244887853307109,273.0
EWP,0.2924201199253892,226.0,0.6018218698409372,273.0
EWQ,0.32052691576189685,226.0,0.7747983812024323,273.0
EWT,0.28820448476722765,226.0,0.6393891521093982,273.0
EWU,0.3130616042470565,226.0,0.7935387865427884,273.0
EWW,0.39257957850142233,226.0,0.5892677878687573,273.0
EWY,0.35928071645500276,226.0,0.5422884051022143,273.0
EWZ,0.5413777565650941,226.0,0.31288628901322296,273.0
EZU,0.3329718816005056,226.0,0.7820041109393921,273.0
FXI,0.2133592132441935,226.0,0.37689590676015733,263.0
HDV,0.13110631651478322,186.0,0.773141512836534,186.0
HYG,0.02268824007503239,226.0,0.7496953929419901,233.0
IAU,-0.07790969486907764,226.0,0.10498358386876369,260.0
IBIT,0.3112066145939321,32.0,0.6910213617076081,32.0
ICLN,0.3232051659821288,219.0,0.5297641717345614,219.0
IDU,0.02792145116734412,226.0,0.603728405064228,273.0
ILF,0.6000852482954934,226.0,0.4202432495657037,273.0
INDA,0.22391077609231747,175.0,0.5678143019463144,175.0
ITB,0.18069571395200174,226.0,0.6403465631101101,244.0
IVV,0.1853153172710621,226.0,,
IVW,0.16338590227093935,226.0,0.9678235993044544,273.0
IYC,0.16737152471172964,226.0,0.9235882255267989,273.0
IYE,0.34498243737932377,226.0,0.5575010561934025,273.0
IYF,0.18914880872789247,226.0,0.8583935029544962,273.0
IYG,0.1825202742561387,226.0,0.82072475481026,273.0
IYH,0.021982782672817096,226.0,0.7881027343059255,273.0
IYJ,0.23624408182112533,226.0,0.917445308296325,273.0
IYK,0.11095072604354449,226.0,0.8031911651481654,273.0
IYM,0.3585197147812546,226.0,0.7527828667802402,273.0
IYR,0.1572941513228387,226.0,0.7303889629187151,273.0
IYW,0.16149467096453587,226.0,0.8793399631573946,273.0
IYZ,0.15909396539065374,226.0,0.749583610668129,273.0
LQD,-0.16171686669475543,226.0,0.5549475244782032,273.0
MCHI,0.1508149488425151,186.0,0.30023663713431886,186.0
TLT,-0.3047477840415247,226.0,0.2655529497004799,273.0
