ticker,Sigma-6,meses_comunes,Delta-12,Gamma-6,Conjunto AlphaData
AAXJ,0.05382602197876117,60,0.0027813522672072346,0.46892700894421857,0.280156584108897
ACWI,0.020602047213426275,60,-0.004135203192257449,0.8201271283147797,0.4549712361085076
CFIETFCC,0.16600077939466143,60,0.2665053809275376,0.07954965132296829,0.22804810097704595
CFIETFCD,0.24557167954697584,60,0.14947384717846487,0.06006038637507836,0.20092156830986585
CFIETFGE,0.07171883863333307,60,0.02211653071846022,0.7629573935622289,0.4566490201579019
CFIETFIPSA,,0,,,
CFIETFLP,,0,,,
CFINASDAQ,0.04116698642990522,57,-0.025506718632034135,0.657180647996117,0.36392067795301963
CFISPETF,0.0567580008918366,52,0.002286037144185142,0.6136352886716349,0.3456551308263663
CFMITNIPSA,0.824031751435668,60,0.7925637639722743,0.04361095191952513,0.7127140534634836
DGRO,-0.06147933493455675,60,-0.05506415220770229,0.7975480947566197,0.38603101504937726
ECH,0.7319585514986461,60,0.7650917109504648,0.1346247285046468,0.7116533893709941
EEM,0.10953999309508011,60,0.053020185934367935,0.5295003007939653,0.35838790765649825
EMB,-0.1502237909462232,60,-0.20195888685813115,0.6749658118418795,0.21848821504238605
EPP,0.022479619947245292,60,0.037205055052177534,0.5264599058204937,0.31306927863261536
EPU,0.28998319233228514,60,0.19080857635357026,0.32717629992835434,0.3833772363599236
EWA,0.03429990742442938,60,0.06570290266946568,0.5517678633882556,0.3441212234080163
EWG,0.23694770931207768,60,0.16885758870969048,0.4769681441779323,0.433328428518797
EWH,-0.005377721792689704,60,0.02357799131308333,0.17556053024763338,0.1037375229973832
EWI,0.20669222791463446,60,0.14888200264682214,0.49295784646310997,0.42068232644310094
EWJ,0.08317775330206324,60,0.023446031233768278,0.5935718790478751,0.3695410529455787
EWP,0.16066624248621533,60,0.08724011396782683,0.3885251187617796,0.31770536652253895
EWQ,0.14262749643129047,60,0.1274616516098403,0.5375767001388837,0.40873563450650074
EWT,-0.003909690540797754,60,-0.019057081671414698,0.5065803496637913,0.2669062829702085
EWU,0.02570019314797464,60,-0.006364016769916571,0.5456692964920873,0.30624444131021666
EWW,0.22721389511005827,60,0.15487167456497258,0.4311179303522718,0.39816124788998797
EWY,0.24811257915935475,60,0.24867620874217183,0.39976640794334106,0.4301105166860536
EWZ,0.42075379743562513,60,0.49699900491444526,0.14452884213912504,0.4702873645575684
EZU,0.22059997273699025,60,0.16193870250807071,0.5715548998447942,0.4751079074124225
FXI,-0.010280301641217475,60,-0.0380688155210903,0.08921712035179911,0.02805888122602081
HDV,-0.05655133021410362,60,-0.03192772608243608,0.625810242336685,0.3042226506474207
HYG,-0.2448905032094809,60,-0.26721537656312133,0.625101094275872,0.12316791556457735
IAU,-0.04354858007271837,60,-0.06453463092415902,0.2143631901242611,0.0709834105743267
IBB,-0.012421319366141872,60,-0.0831190055804594,0.7316919238855468,0.35880458785580244
IBIT,0.07199133276068204,30,-0.020944346070315787,0.5694992021470505,0.38548451911169285
ICLN,0.11632195650933588,60,0.1954049344726629,0.41302214272397136,0.358686352921228
IDU,-0.13571285948703993,60,-0.05234606716272986,0.59980698196669,0.24773172283308442
ILF,0.4482746215769201,60,0.48353427745926014,0.2634487905632709,0.5411340381296473
INDA,-0.12951475452437977,60,-0.15888901187669735,0.4173604829080652,0.10500420548934565
ITB,0.16501349474825724,60,0.12183603692966283,0.5629168871622774,0.42964817056038923
IVV,-0.024141280365284314,60,-0.02773287936731418,0.8357743203184349,0.43444824738858223
IVW,-0.02130588667250687,60,-0.02461150546600156,0.7829659420476569,0.40813959982071113
IYC,-0.003716814188121668,60,-0.027128000668652428,0.7223952086019199,0.3814222004774239
IYE,-0.06513106499790333,60,0.02201605327355717,0.31758249546323086,0.15534165090161176
IYF,-0.015955474309235357,60,-0.09243014522780255,0.6927401578958221,0.33203643768252056
IYG,0.024173680883649646,60,-0.05467039883646979,0.6676696530573248,0.3515300214185237
IYH,-0.09389175894350607,60,-0.0959359503267475,0.6769359549558467,0.2888882023163728
IYJ,0.05411520160760745,60,0.04143081010766757,0.777824995132787,0.4655965814380847
IYK,-0.0878520318441388,60,-0.07327457933443704,0.4786437074924898,0.1928409210852485
IYM,0.0996977874524078,60,0.13499720901881393,0.5809508833285425,0.4174776062736556
IYR,-0.03753864381179944,60,-0.003530983349988512,0.6341387464962288,0.3290022064238106
IYW,-0.00013438115070006916,60,-0.022165769651524194,0.6932173658233239,0.3691282053108036
IYZ,-0.06822764164163458,60,-0.022423583962196993,0.5552724120720012,0.2648190313112839
LQD,-0.21678721264757525,60,-0.2580756292118338,0.6234902312946626,0.13811080323400407
MCHI,-0.0008320224565890558,60,-0.05257662448813059,0.1357093643723771,0.05123758137032071
TLT,-0.151978201190548,60,-0.19715252503103117,0.5376314307026956,0.14478323827204226
