ticker,Sigma-6,meses_comunes,Delta-12,Gamma-6,Conjunto AlphaData
AAXJ,0.10577589479697971,262,0.12865824013269128,0.5682806327264264,0.42346002947838723
ACWI,0.05294322259319978,262,0.07323183248183832,0.7929483393787335,0.5098721965419463
CFIETFCC,0.1472054746291704,262,0.07798601666714394,-0.01969755169299441,0.07782870112009149
CFIETFCD,0.03820521732163317,262,0.038472062049432966,0.04917381918422688,0.057858468482498863
CFIETFGE,-0.012443154917285837,258,-0.026422819169907522,0.5691609644448897,0.3124973652163214
CFIETFIPSA,,0,,,
CFIETFLP,,0,,,
CFINASDAQ,0.03675742672297614,247,0.05054609315850621,0.5672547755526433,0.3655217773845355
CFISPETF,0.027719934510332445,227,0.013587684866299791,0.4902919027034403,0.29684365026723897
CFMITNIPSA,0.7394948040287996,262,0.7435527464185088,0.061731038787437,0.6347295645329196
DGRO,-0.015670285837958885,262,-0.018140608994742746,0.7543600094548198,0.42290096929671317
ECH,0.624771448064086,262,0.6698207429122619,0.18105974216162513,0.6303809608639048
EEM,0.12705013439399424,262,0.1546168881636951,0.5923229675240376,0.45687948599242223
EMB,-0.14052245865317842,262,-0.12128690657560263,0.5617023432851241,0.22128308320832374
EPP,0.10492487769447358,262,0.14437863235951873,0.6865912836274448,0.4988367686357843
EPU,0.26060332504295514,262,0.27789043670606195,0.4369863950963441,0.4715819205590848
EWA,0.11548144712036461,262,0.16425735899398447,0.6936448073595524,0.5148582727604569
EWG,0.12722048965659818,262,0.12276147037823977,0.505314356367553,0.39258344635205916
EWH,0.07179606808313606,262,0.08620365711605253,0.40622103851288616,0.300076487411864
EWI,0.14512191682781672,262,0.16969967978448486,0.5458850248641717,0.4441187687761734
EWJ,0.11739886494658068,262,0.11332476319866228,0.6459524635187727,0.4670104971276336
EWP,0.09944343495834734,262,0.11442863013166295,0.5334247082907998,0.3958961876150654
EWQ,0.09974626550123358,262,0.10155207803366272,0.5522930472687273,0.40033242911316946
EWT,0.0991929629302099,262,0.14959934625501725,0.5795971274430053,0.43572717103084646
EWU,0.07558704169761962,262,0.09231332729107589,0.6593130850253758,0.4506910540383847
EWW,0.1833203062742022,262,0.18389411925568475,0.4803898279857211,0.4264429079099967
EWY,0.18025055078366556,262,0.21673529718880535,0.4569851182604404,0.4245960174457392
EWZ,0.1876074007683808,262,0.23389004914978967,0.3793484086466018,0.3939153369487015
EZU,0.12987198807478842,262,0.13108917540825216,0.5688711909360237,0.43401667724092274
FXI,0.0780498345024409,262,0.07778654985370198,0.329137739161132,0.2527648910080343
HDV,-0.051310308504598404,262,-0.05370332857966041,0.6707467166725861,0.3475986794338935
HYG,-0.15663060193096429,262,-0.15038101266656756,0.626265848299318,0.23997357761692023
IAU,-0.0544832675737821,262,0.005468424649542211,0.35999494042284486,0.1901004845333772
IBB,0.03172424675635954,262,0.024126202862636104,0.5480588028873312,0.34008010732141536
IBIT,0.14536524688881441,131,0.12910807414178138,0.2575656129414679,0.24717887693183951
ICLN,0.10615115878302235,262,0.19066458885928322,0.43170557495310835,0.3715162932457225
IDU,-0.1251318109749431,262,-0.10919748213114185,0.5337459601947823,0.21514037381366907
ILF,0.26599316240940685,262,0.304487319674684,0.4515626839355919,0.49495822711473425
INDA,-0.0533875815716558,262,-0.019325960250566113,0.5574697601609592,0.29535319501186214
ITB,0.10406386077998674,262,0.10723810766889032,0.5078703134000555,0.3793946779769937
IVV,0.011051062304362147,262,0.034197500577275476,0.7948130970824251,0.4781405397452667
IVW,0.02109972864412662,262,0.058932586128236784,0.7348940138090094,0.45750708144075874
IYC,0.08268856647662724,262,0.0870448960326857,0.7086634683870725,0.4775864377788054
IYE,0.027807261150061983,262,0.09801356318144049,0.5042427862761844,0.34621970119222856
IYF,0.05608794877828732,262,0.03007586298343618,0.6921411901156297,0.4353386585567845
IYG,0.07483433751751489,262,0.04133028478708821,0.6807338144559022,0.44025298770490623
IYH,-0.08728542181305504,262,-0.09135586458866589,0.6098442136067707,0.28083859117972665
IYJ,0.06382093969563654,262,0.05168711258005747,0.7334994439376622,0.4705495582035175
IYK,-0.0960531104946239,262,-0.11858311144746293,0.5562241796001138,0.23560673078265162
IYM,0.12181462632308893,262,0.1471427563412041,0.6411056801910784,0.4796987007320729
IYR,0.01038880777522273,262,0.007961270505507007,0.5809053689246093,0.3444079546133217
IYW,0.010828342622354355,262,0.04710290263664068,0.6679094374597632,0.4091434222844786
IYZ,0.015265440475936696,262,0.004596165096975828,0.5979438600199939,0.3542229651209637
LQD,-0.1809250360094708,262,-0.1559221368088046,0.5277778247749946,0.17148113327865203
MCHI,0.0781473213169191,262,0.06993142580614653,0.33455445824466523,0.25279029936811676
TLT,-0.17446523617851334,262,-0.15641345941589924,0.3415869414078205,0.06622521430570731
