,Crisis financiera 2008,Deuda europea 2011,China y commodities 2015-16,Corrección 2018,COVID 2020,Tasas 2022
AAXJ,,-0.18517330001614185,-0.14913160060848607,-0.056905510925700176,-0.2027937834478043,-0.2438748520330528
ACWI,,-0.12320259143067513,-0.12398811024764478,-0.1258698826685486,-0.27789286718316375,-0.19899054739779976
CFIETFCC,,,,,-0.04098618994354608,0.07712838234007591
CFIETFCD,,,,,-0.0015818299502773359,0.05105821660019605
CFIETFGE,,,,,-0.2732798994406247,-0.19230697955680398
CFIETFIPSA,,,,,,
CFIETFLP,,,,,,
CFINASDAQ,,,,,,-0.2688364086504982
CFISPETF,,,,,,
CFMITNIPSA,,,-0.05801910897826734,-0.05014348904489119,-0.347913440498952,0.07183577712393263
DGRO,,,-0.03891397350305781,-0.1106371960814817,-0.2944204821808347,-0.1139120560262491
ECH,,-0.2326715743836424,-0.06562702128711928,-0.051814444769984536,-0.3498818623447567,0.14702512107403698
EEM,-0.49872827692896726,-0.19903648971416144,-0.1660479301639015,-0.04875455668842221,-0.25070535540708383,-0.22720866977444187
EMB,,0.14162498138014468,0.037494998777782396,0.03215534512107454,-0.14923782116759943,-0.17886717972108623
EPP,-0.5430103237243618,-0.17185024019385897,-0.14221628275226939,-0.05834705881347724,-0.3207575855320113,-0.12531434256883656
EPU,,-0.028781583967127267,-0.18181023075264235,-0.0032069676029221617,-0.3386831165437215,-0.050276820436275016
EWA,-0.5637074966881823,-0.18445955438823702,-0.1244353383044926,-0.08690391872168524,-0.39912755679636747,-0.11422133571722326
EWG,-0.5291713542161458,-0.28103969490740877,-0.17462338091467444,-0.1382135006441415,-0.3177183102633996,-0.3327938210978808
EWH,-0.47704292423989825,-0.16069586052332296,-0.18722173500327954,-0.009501870633702558,-0.1812340890230012,-0.13811004610671107
EWI,-0.6307523002279226,-0.31793184139024566,-0.2852243437359323,-0.09562228132332096,-0.33038684867428736,-0.28312814740203385
EWJ,-0.4061977329835784,0.02648187277079561,-0.16735360754487805,-0.13934424254555977,-0.15915921617039197,-0.20069079600114526
EWP,-0.468753784028768,-0.20025022580585072,-0.2521730303721018,-0.047224120531725644,-0.3240508044605416,-0.19129046717984044
EWQ,-0.5156454421500936,-0.2566507673183013,-0.16567308970917238,-0.1367145797725362,-0.31620992030737927,-0.22785598006398455
EWT,-0.45893093473207436,-0.15640755203137546,-0.10069274794346672,-0.11257893045611966,-0.17822749908118263,-0.3135991812099451
EWU,-0.5448738490955662,-0.10937004943269024,-0.18449164968058873,-0.09745467953060016,-0.3524249402605947,-0.14065228850933187
EWW,-0.5513605520533791,-0.12392759355830307,-0.17104313630274903,-0.16275153061866487,-0.428147392939216,0.0003907995419323296
EWY,-0.6160432345480668,-0.24576915125137677,-0.02071638714588797,-0.0957501552116744,-0.30911024342114524,-0.31317870988051055
EWZ,-0.4536308363147069,-0.22322995968133919,-0.2755208943085906,0.16328472443702813,-0.48663810059501256,0.3066742421707018
EZU,-0.5611914084704624,-0.2612959491488831,-0.17928972936806842,-0.12503149502429722,-0.30988806737641883,-0.2833764186959701
FXI,-0.5313827565081101,-0.225439879061894,-0.2624491060113454,-0.041755192029322985,-0.12201485373277554,-0.26082829633310844
HDV,,0.08031672987284266,0.03838838958642121,-0.06595924973337108,-0.2995787905169741,0.03265667237189329
HYG,-0.1763903600518344,0.050053801838562784,-0.05906921023125411,-0.013276593505139433,-0.15437342445014535,-0.06988283308851018
IAU,0.5222082775278942,0.23624445152359885,0.18681762805164093,0.12367582611519645,0.04335024063445925,0.010825282407574521
IBB,-0.15790804036953365,-0.04859776449859654,-0.3089409702566167,-0.22029391794538666,-0.14510196215948046,-0.1473529709037984
IBIT,,,,,,
ICLN,,-0.4382742534972336,-0.21574485988188452,-0.0034907251888650626,-0.3621744969585613,-0.0908433290021291
IDU,-0.3217792610273914,0.1355385474669324,0.11676512144800322,0.037256462691625414,-0.3022438084716468,-0.033378400293596844
