review_date,n_eligible,n_selected,tickers_selected
2016-01-29,48,5,"EMB,HDV,IDU,IYK,TLT"
2016-02-29,48,5,"HDV,IAU,IDU,IYK,TLT"
2016-03-31,48,5,"EPU,HDV,IAU,IDU,IYZ"
2016-04-29,48,5,"EPU,EWZ,IAU,IDU,ILF"
2016-05-31,48,5,"EPU,EWZ,IDU,IYE,IYM"
2016-06-30,48,5,"EPU,EWZ,IAU,IDU,IYE"
2016-07-29,48,5,"EPU,EWT,EWZ,IYR,IYZ"
2016-08-31,48,5,"EPU,EWT,EWY,EWZ,ILF"
2016-09-30,48,5,"EPU,EWZ,ILF,IYW,MCHI"
2016-10-31,47,5,"EWH,EWT,EWZ,ILF,MCHI"
2016-11-30,47,5,"EPU,EWT,EWZ,ILF,IYG"
2016-12-30,48,5,"EPU,IYE,IYF,IYG,IYM"
2017-01-31,48,5,"IYE,IYF,IYG,IYM,IYZ"
2017-02-28,48,5,"EWZ,ILF,IYF,IYG,IYW"
2017-03-31,48,5,"CFMITNIPSA,ECH,ITB,IYG,IYW"
2017-04-28,47,5,"EWP,EWY,INDA,ITB,IYW"
2017-05-31,48,5,"EWI,EWP,EWQ,EWY,EZU"
2017-06-30,48,5,"EWI,EWP,EWQ,EWY,MCHI"
2017-07-31,48,5,"AAXJ,EWI,EWP,EWY,MCHI"
2017-08-31,48,5,"CFMITNIPSA,ECH,EWI,ILF,MCHI"
2017-09-29,0,0,
2017-10-31,48,5,"CFMITNIPSA,ECH,EPU,ITB,MCHI"
2017-11-30,0,0,
2017-12-29,48,5,"EWY,INDA,ITB,IYW,MCHI"
2018-01-31,47,5,"EWZ,FXI,ITB,IYC,MCHI"
2018-02-28,48,5,"CFMITNIPSA,ECH,EWZ,ILF,MCHI"
2018-03-29,48,5,"EPU,EWZ,ILF,IYW,MCHI"
2018-04-30,48,5,"ECH,EPU,EWI,ICLN,ILF"
2018-05-31,48,5,"CFMITNIPSA,EPU,ICLN,IYE,IYW"
2018-06-29,48,5,"IVV,IVW,IYC,IYE,IYW"
2018-07-31,47,5,"IBB,IVW,IYC,IYE,IYW"
2018-08-31,48,5,"IBB,IVW,IYC,IYH,IYW"
2018-09-28,48,5,"IBB,IVW,IYC,IYH,IYW"
2018-10-31,48,5,"HDV,IVW,IYC,IYH,IYZ"
2018-11-30,47,5,"EWZ,HDV,IDU,ILF,IYH"
2018-12-31,47,5,"EWZ,IAU,IDU,INDA,TLT"
2019-01-31,47,5,"EWH,EWZ,IAU,ICLN,TLT"
2019-02-28,1,1,CFMITNIPSA
2019-03-29,47,5,"EWH,ICLN,IYJ,IYR,IYW"
2019-04-30,48,5,"EWH,ICLN,IDU,INDA,IYW"
2019-05-31,48,5,"ICLN,INDA,ITB,IYR,TLT"
2019-06-28,48,5,"EWZ,ICLN,ITB,IYC,TLT"
2019-07-31,48,5,"EWZ,IAU,ICLN,LQD,TLT"
2019-08-30,48,5,"IAU,ICLN,ITB,IYW,TLT"
2019-09-30,48,5,"IAU,IDU,ITB,IYR,TLT"
2019-10-31,47,5,"EWT,IDU,ITB,IYR,TLT"
2019-11-29,47,5,"EWT,IBB,ITB,IYG,IYW"
2019-12-31,47,5,"EWT,IBB,IYG,IYH,IYW"
2020-01-31,47,5,"ICLN,ITB,IVW,IYG,IYW"
2020-02-28,50,5,"IAU,ICLN,ITB,IYW,TLT"
2020-03-31,50,5,"IAU,IBB,ICLN,IYW,TLT"
2020-04-30,47,5,"IAU,IBB,IYH,LQD,TLT"
2020-05-29,50,5,"IAU,IBB,IYH,IYW,TLT"
2020-06-30,50,5,"IBB,ICLN,ITB,IVW,IYW"
2020-07-31,50,5,"EWT,ICLN,ITB,IYW,MCHI"
2020-08-31,50,5,"IAU,ICLN,ITB,IVW,IYW"
2020-09-30,3,3,"CFIETFCC,CFIETFGE,CFMITNIPSA"
2020-10-30,50,5,"EWY,ICLN,ITB,IYK,MCHI"
2020-11-30,51,5,"EWT,EWW,EWY,ICLN,MCHI"
2020-12-31,47,5,"EWW,EWY,EWZ,ICLN,ILF"
2021-01-29,51,5,"EWT,EWY,ICLN,ILF,IYK"
2021-02-26,51,5,"CFMITNIPSA,EWT,EWY,ICLN,IYE"
2021-03-31,47,5,"ECH,EWT,ITB,IYE,IYG"
