review_date,n_eligible,n_selected,tickers_selected
2016-01-29,14,5,"EMB,HDV,IDU,IYK,TLT"
2016-02-29,10,5,"HDV,IAU,IDU,IYK,TLT"
2016-03-31,23,5,"EPU,HDV,IAU,IDU,IYZ"
2016-04-29,23,5,"EPU,EWZ,IAU,IDU,ILF"
2016-05-31,32,5,"EPU,EWZ,IDU,IYE,IYM"
2016-06-30,20,5,"EPU,EWZ,IAU,IDU,IYE"
2016-07-29,34,5,"EPU,EWT,EWZ,IYR,IYZ"
2016-08-31,45,5,"EPU,EWT,EWY,EWZ,ILF"
2016-09-30,33,5,"EPU,EWZ,ILF,IYW,MCHI"
2016-10-31,27,5,"EWH,EWT,EWZ,ILF,MCHI"
2016-11-30,28,5,"CFMITNIPSA,EPU,EWZ,ILF,IYG"
2016-12-30,26,5,"EPU,IYE,IYF,IYG,IYM"
2017-01-31,35,5,"IYE,IYF,IYG,IYM,IYZ"
2017-02-28,39,5,"EWZ,ILF,IYF,IYG,IYW"
2017-03-31,45,5,"CFMITNIPSA,ECH,ITB,IYG,IYW"
2017-04-28,45,5,"EWP,EWY,INDA,ITB,IYW"
2017-05-31,46,5,"EWI,EWP,EWQ,EWY,EZU"
2017-06-30,44,5,"EWI,EWP,EWQ,EWY,MCHI"
2017-07-31,45,5,"AAXJ,EWI,EWP,EWY,MCHI"
2017-08-31,39,5,"CFMITNIPSA,ECH,EWI,ILF,MCHI"
2017-09-29,41,5,"CFMITNIPSA,ECH,EWI,EWZ,MCHI"
2017-10-31,34,5,"CFMITNIPSA,ECH,EPU,ITB,MCHI"
2017-11-30,42,5,"EPU,EWY,ITB,IYG,MCHI"
2017-12-29,36,5,"EWY,INDA,ITB,IYW,MCHI"
2018-01-31,38,5,"EWZ,FXI,ITB,IYC,MCHI"
2018-02-28,14,5,"CFMITNIPSA,ECH,EWZ,ILF,MCHI"
2018-03-29,18,5,"EPU,EWZ,ILF,IYW,MCHI"
2018-04-30,16,5,"ECH,EPU,EWI,ICLN,ILF"
2018-05-31,31,5,"EPU,EWU,ICLN,IYE,IYW"
2018-06-29,34,5,"IVV,IVW,IYC,IYE,IYW"
2018-07-31,36,5,"IVW,IYC,IYE,IYH,IYW"
2018-08-31,40,5,"IVW,IYC,IYE,IYH,IYW"
2018-09-28,31,5,"DGRO,IVW,IYC,IYH,IYW"
2018-10-31,26,5,"HDV,IVW,IYC,IYH,IYZ"
2018-11-30,24,5,"EWZ,HDV,IDU,ILF,IYH"
2018-12-31,15,5,"EWZ,IAU,IDU,INDA,TLT"
2019-01-31,25,5,"EWH,EWZ,IAU,ICLN,TLT"
2019-02-28,21,5,"EWH,EWZ,IAU,ICLN,ILF"
2019-03-29,41,5,"EWH,ICLN,IYJ,IYR,IYW"
2019-04-30,44,5,"EWH,ICLN,IDU,INDA,IYW"
2019-05-31,42,5,"ICLN,INDA,ITB,IYR,TLT"
2019-06-28,43,5,"EWZ,ICLN,ITB,IYC,TLT"
2019-07-31,43,5,"EWZ,IAU,ICLN,LQD,TLT"
2019-08-30,39,5,"IAU,ICLN,ITB,IYW,TLT"
2019-09-30,44,5,"IAU,IDU,ITB,IYR,TLT"
2019-10-31,45,5,"EWT,IDU,ITB,IYR,TLT"
2019-11-29,45,5,"EWI,EWT,ITB,IYG,IYW"
2019-12-31,45,5,"EWT,ITB,IYG,IYH,IYW"
2020-01-31,47,5,"CFIETFGE,ICLN,ITB,IVW,IYW"
