commit,commit_fecha,as_of,signal_date,recomendacion,score,fondo_vigente
877e132d,2026-07-28,2026-07-23,2026-06-30,A,5,A
6b4b75b2,2026-07-31,2026-07-28,2026-06-30,A,5,A
095c6263,2026-08-07,2026-08-05,2026-07-31,A,5,A
40339e1a,2026-08-09,2026-08-06,2026-07-31,A,5,A
9578c957,2026-08-19,2026-08-17,2026-07-31,A,5,A
cce89c9a,2026-08-21,2026-08-19,2026-07-31,A,5,A
0e23b965,2026-08-29,2026-08-27,2026-07-31,A,5,A
8d1be84d,2026-09-04,2026-09-02,2026-08-31,A,5,A
8fefe8d4,2026-09-11,2026-09-09,2026-08-31,A,5,A
f704ef32,2026-09-18,2026-09-16,2026-08-31,A,5,A
d4c0fdfe,2026-09-22,2026-09-20,2026-08-31,A,5,A
