cik,trans_date,trans_code,acquired_disposed,shares,price_per_share,value
1652044,2016-03-30,S,D,140.0,757.84,-106097.6
1652044,2016-03-30,S,D,1006.0,756.98,-761521.88
1652044,2016-03-30,S,D,1896.0,756.0,-1433376.0
1652044,2016-03-30,S,D,1733.0,755.09,-1308570.97
1652044,2016-03-30,S,D,2106.0,753.95,-1587818.7000000002
1652044,2016-03-30,S,D,2330.0,752.83,-1754093.9000000001
1652044,2016-03-30,S,D,4763.0,751.86,-3581109.18
1652044,2016-03-30,S,D,1950.0,751.2,-1464840.0
1652044,2016-03-30,S,D,742.0,749.78,-556336.76
1652044,2016-03-30,S,D,200.0,777.11,-155422.0
1652044,2016-03-30,S,D,1037.0,776.35,-805074.9500000001
1652044,2016-03-30,S,D,2178.0,775.55,-1689147.9
1652044,2016-03-30,S,D,1150.0,774.55,-890732.5
1652044,2016-03-30,S,D,1487.0,773.47,-1150149.8900000001
1652044,2016-03-30,S,D,1683.0,772.31,-1299797.73
1652044,2016-03-30,S,D,1228.0,771.34,-947205.52
1652044,2016-03-30,S,D,4036.0,770.35,-3109132.6
1652044,2016-03-30,S,D,1098.0,768.44,-843747.1200000001
1652044,2016-03-30,S,D,2569.0,769.56,-1976999.64
1652044,2016-03-29,S,D,100.0,737.15,-73715.0
1652044,2016-03-29,S,D,300.0,736.25,-220875.0
1652044,2016-03-29,S,D,500.0,735.12,-367560.0
1652044,2016-03-29,S,D,819.0,734.21,-601317.99
1652044,2016-03-29,S,D,1526.0,733.01,-1118573.26
1652044,2016-03-29,S,D,1700.0,732.23,-1244791.0
1652044,2016-03-29,S,D,784.0,730.69,-572860.9600000001
1652044,2016-03-29,S,D,1000.0,729.71,-729710.0
1652044,2016-03-29,S,D,1461.0,746.74,-1090987.14
1652044,2016-03-29,S,D,2930.0,745.97,-2185692.1
1652044,2016-03-29,S,D,817.0,744.48,-608240.16
1652044,2016-03-29,S,D,1316.0,743.62,-978603.92
1652044,2016-03-29,S,D,953.0,741.82,-706954.4600000001
1652044,2016-03-29,S,D,1134.0,738.5,-837459.0
1652044,2016-03-29,S,D,326.0,741.09,-241595.34
1652044,2016-03-29,S,D,1000.0,739.51,-739510.0
320187,2016-03-29,S,D,28000.0,61.63,-1725640.0
1045810,2016-03-29,S,D,55304.0,35.0,-1935640.0
1652044,2016-03-29,S,D,900.0,749.23,-674307.0
1652044,2016-03-29,S,D,850.0,750.49,-637916.5
1652044,2016-03-29,S,D,1100.0,751.75,-826925.0
1652044,2016-03-29,S,D,1918.0,752.59,-1443467.62
1652044,2016-03-29,S,D,808.0,753.52,-608844.16
1652044,2016-03-29,S,D,730.0,754.71,-550938.3
1652044,2016-03-29,S,D,300.0,755.87,-226761.0
1652044,2016-03-29,S,D,1000.0,757.34,-757340.0
1652044,2016-03-29,S,D,1210.0,758.34,-917591.4
1652044,2016-03-29,S,D,100.0,758.83,-75883.0
1652044,2016-03-29,S,D,1200.0,760.78,-912936.0
1652044,2016-03-29,S,D,100.0,761.2,-76120.0
1652044,2016-03-29,S,D,1128.0,763.2,-860889.6000000001
1652044,2016-03-29,S,D,1000.0,764.16,-764160.0
1652044,2016-03-29,S,D,1940.0,765.63,-1485322.2
1652044,2016-03-29,S,D,2382.0,766.51,-1825826.82
21344,2016-03-29,S,D,50000.0,46.0,-2300000.0
21344,2016-03-29,S,D,29818.0,46.0,-1371628.0
21344,2016-03-28,S,D,455172.0,45.7,-20801360.400000002
1652044,2016-03-28,S,D,819.0,738.42,-604765.98
1652044,2016-03-28,S,D,1400.0,756.97,-1059758.0
1652044,2016-03-28,S,D,1650.0,755.96,-1247334.0
1652044,2016-03-28,S,D,968.0,735.51,-711973.6799999999
1652044,2016-03-28,S,D,2700.0,737.48,-1991196.0
1652044,2016-03-28,S,D,4420.0,736.68,-3256125.5999999996
1652044,2016-03-28,S,D,3108.0,735.62,-2286306.96
1652044,2016-03-28,S,D,4655.0,734.32,-3418259.6
1652044,2016-03-28,S,D,2633.0,752.97,-1982570.01
1652044,2016-03-28,S,D,6240.0,753.9,-4704336.0
1652044,2016-03-28,S,D,4747.0,754.93,-3583652.71
1652044,2016-03-24,S,D,4404.0,754.42,-3322465.6799999997
1652044,2016-03-24,S,D,337.0,736.61,-248237.57
1652044,2016-03-24,S,D,1779.0,735.46,-1308383.34
1652044,2016-03-24,S,D,6234.0,734.75,-4580431.5
1652044,2016-03-24,S,D,4611.0,733.77,-3383413.4699999997
1652044,2016-03-24,S,D,2767.0,751.26,-2078736.42
1652044,2016-03-24,S,D,2914.0,752.42,-2192551.88
1652044,2016-03-24,S,D,5580.0,753.45,-4204251.0
1652044,2016-03-24,S,D,701.0,755.14,-529353.14
1652044,2016-03-24,S,D,300.0,756.17,-226851.0
1652044,2016-03-24,S,D,1817.0,731.69,-1329480.7300000002
1652044,2016-03-24,S,D,1888.0,732.61,-1383167.68
1652044,2016-03-23,S,D,100.0,744.05,-74405.0
1652044,2016-03-23,S,D,632.0,743.05,-469607.6
1652044,2016-03-23,S,D,2357.0,757.13,-1784555.41
1652044,2016-03-23,S,D,3617.0,757.97,-2741577.49
1652044,2016-03-23,S,D,1997.0,759.16,-1516042.52
1652044,2016-03-23,S,D,4016.0,760.2,-3052963.2
1652044,2016-03-23,S,D,3346.0,761.07,-2546540.22
1652044,2016-03-23,S,D,1133.0,762.07,-863425.31
1652044,2016-03-23,S,D,50.0,762.92,-38146.0
1652044,2016-03-23,S,D,150.0,764.3,-114645.0
1652044,2016-03-23,S,D,1569.0,737.25,-1156745.25
1652044,2016-03-23,S,D,3981.0,738.16,-2938614.96
1652044,2016-03-23,S,D,2367.0,739.34,-1750017.78
1652044,2016-03-23,S,D,3422.0,740.18,-2532895.96
1652044,2016-03-23,S,D,3685.0,741.33,-2731801.0500000003
1652044,2016-03-23,S,D,810.0,742.44,-601376.4
1652044,2016-03-23,S,D,100.0,745.13,-74513.0
1652044,2016-03-22,S,D,800.0,744.47,-595576.0
1652044,2016-03-22,S,D,3191.0,759.86,-2424713.2600000002
1652044,2016-03-22,S,D,2623.0,760.9,-1995840.7
1652044,2016-03-22,S,D,3566.0,761.96,-2717149.3600000003
1652044,2016-03-22,S,D,4037.0,762.92,-3079908.04
1652044,2016-03-22,S,D,658.0,763.61,-502455.38
1652044,2016-03-22,S,D,100.0,764.48,-76448.0
1652044,2016-03-22,S,D,200.0,738.51,-147702.0
1652044,2016-03-22,S,D,1896.0,739.72,-1402509.12
1652044,2016-03-22,S,D,3445.0,740.73,-2551814.85
1652044,2016-03-22,S,D,2657.0,741.55,-1970298.3499999999
1652044,2016-03-22,S,D,3311.0,742.74,-2459212.14
1652044,2016-03-22,S,D,4357.0,743.69,-3240257.33
1652044,2016-03-22,S,D,2491.0,758.86,-1890320.26
320193,2016-03-22,S,D,268644.0,106.91,-28720730.04
1652044,2016-03-21,S,D,768.0,762.64,-585707.52
1652044,2016-03-21,S,D,2277.0,761.0,-1732797.0
1652044,2016-03-21,S,D,1088.0,759.78,-826640.64
1652044,2016-03-21,S,D,1903.0,758.57,-1443558.7100000002
1652044,2016-03-21,S,D,2501.0,757.63,-1894832.63
1652044,2016-03-21,S,D,935.0,756.38,-707215.3
1652044,2016-03-21,S,D,1500.0,755.7,-1133550.0
1652044,2016-03-21,S,D,520.0,754.19,-392178.80000000005
1652044,2016-03-21,S,D,1277.0,753.41,-962104.57
1652044,2016-03-21,S,D,1696.0,752.41,-1276087.3599999999
1652044,2016-03-21,S,D,369.0,742.21,-273875.49
1652044,2016-03-21,S,D,2198.0,741.5,-1629817.0
1652044,2016-03-21,S,D,2133.0,740.52,-1579529.16
1652044,2016-03-21,S,D,3783.0,739.6,-2797906.8000000003
1652044,2016-03-21,S,D,2398.0,738.58,-1771114.84
1652044,2016-03-21,S,D,2338.0,737.46,-1724181.48
1652044,2016-03-21,S,D,300.0,736.3,-220890.0
1652044,2016-03-21,S,D,1471.0,735.33,-1081670.4300000002
1652044,2016-03-21,S,D,1676.0,734.35,-1230770.6
1652044,2016-03-21,S,D,2201.0,761.98,-1677117.98
1045810,2016-03-17,S,D,94842.0,32.9,-3120301.8
50863,2016-03-17,S,D,7720.0,32.15,-248198.0
27419,2016-03-16,S,D,23782.0,82.05,-1951313.0999999999
320193,2016-03-15,S,D,18241.0,103.92,-1895604.72
21344,2016-03-15,S,D,28216.0,45.5,-1283828.0
1652044,2016-03-16,S,D,3625.0,726.37,-2633091.25
1652044,2016-03-16,S,D,375.0,749.05,-280893.75
27419,2016-03-16,S,D,822.0,81.47,-66968.34
27419,2016-03-15,S,D,35529.0,81.57,-2898100.53
731766,2016-03-14,S,D,5420.0,124.51,-674844.2000000001
50863,2016-03-11,S,D,26882.0,31.65,-850815.2999999999
21344,2016-03-10,S,D,12900.0,45.0,-580500.0
21344,2016-03-10,S,D,74900.0,45.0,-3370500.0
21344,2016-03-10,S,D,20760.0,44.95,-933162.0000000001
72971,2016-03-11,S,D,2210.0,49.93,-110345.3
21344,2016-03-10,S,D,50000.0,44.95,-2247500.0
1652044,2016-03-14,S,D,2500.0,726.4,-1816000.0
1652044,2016-03-14,S,D,2500.0,744.97,-1862425.0
21344,2016-03-09,S,D,35438.0,44.5,-1576991.0
72971,2016-03-10,S,D,10000.0,48.16,-481599.99999999994
1652044,2016-03-04,S,D,558.0,713.86,-398333.88
1652044,2016-03-04,S,D,1884.0,726.45,-1368631.8
1652044,2016-03-04,S,D,2200.0,727.46,-1600412.0
1652044,2016-03-04,S,D,1710.0,728.36,-1245495.6
1652044,2016-03-04,S,D,4458.0,729.59,-3252512.22
1652044,2016-03-04,S,D,3799.0,730.52,-2775245.48
1652044,2016-03-04,S,D,902.0,731.5,-659813.0
1652044,2016-03-04,S,D,604.0,732.78,-442599.12
1652044,2016-03-04,S,D,913.0,733.92,-670068.96
1652044,2016-03-04,S,D,200.0,734.56,-146912.0
1652044,2016-03-04,S,D,1100.0,706.81,-777490.9999999999
1652044,2016-03-04,S,D,2910.0,707.76,-2059581.5999999999
1652044,2016-03-04,S,D,1799.0,708.97,-1275437.03
1652044,2016-03-04,S,D,4005.0,709.78,-2842668.9
1652044,2016-03-04,S,D,3310.0,710.89,-2353045.9
1652044,2016-03-04,S,D,1557.0,711.56,-1107898.92
1652044,2016-03-04,S,D,600.0,712.92,-427752.0
1652044,2016-03-04,S,D,700.0,714.87,-500409.0
1652044,2016-03-04,S,D,131.0,715.57,-93739.67000000001
731766,2016-03-07,S,D,4113.0,121.51,-499770.63
21344,2016-03-04,S,D,308090.0,43.99,-13552879.100000001
21344,2016-03-04,S,D,130200.0,44.03,-5732706.0
1652044,2016-03-03,S,D,3450.0,731.34,-2523123.0
1652044,2016-03-03,S,D,3862.0,730.43,-2820920.6599999997
1652044,2016-03-03,S,D,100.0,719.5,-71950.0
1652044,2016-03-03,S,D,721.0,718.19,-517814.99000000005
1652044,2016-03-03,S,D,400.0,715.77,-286308.0
1652044,2016-03-03,S,D,1162.0,714.43,-830167.6599999999
1652044,2016-03-03,S,D,4795.0,712.28,-3415382.6
1652044,2016-03-03,S,D,5891.0,711.36,-4190621.7600000002
1652044,2016-03-03,S,D,1960.0,710.61,-1392795.6
1652044,2016-03-03,S,D,300.0,740.42,-222126.0
1652044,2016-03-03,S,D,500.0,739.33,-369665.0
1652044,2016-03-03,S,D,200.0,737.91,-147582.0
1652044,2016-03-03,S,D,600.0,736.79,-442074.0
