review_date,n_eligible,n_selected,tickers_selected
2016-06-30,0,0,
2016-07-29,2,1,ABT
2016-08-31,2,2,"ABT,BAC"
2016-09-30,2,2,"ABT,BAC"
2016-10-31,4,3,"BAC,FCX,JNJ"
2016-11-30,4,2,"BAC,FCX"
2016-12-30,4,3,"BAC,FCX,JNJ"
2017-01-31,2,2,"ABT,BAC"
2017-02-28,0,0,
2017-03-31,2,1,MCD
2017-04-28,2,1,BAC
2017-05-31,2,1,BAC
2017-06-30,1,1,BAC
2017-07-31,0,0,
2017-08-31,1,0,
2017-09-29,1,1,FCX
2017-10-31,1,1,FCX
2017-11-30,1,1,FCX
2017-12-29,0,0,
2018-01-31,0,0,
2018-02-28,0,0,
2018-03-29,1,0,
2018-04-30,1,0,
2018-05-31,0,0,
2018-06-29,0,0,
2018-07-31,0,0,
2018-08-31,0,0,
2018-09-28,0,0,
2018-10-31,0,0,
2018-11-30,0,0,
2018-12-31,1,0,
2019-01-31,0,0,
2019-02-28,1,1,EBAY
2019-03-29,1,1,EBAY
2019-04-30,0,0,
2019-05-31,1,0,
2019-06-28,3,2,"JNJ,MS"
2019-07-31,3,1,MS
2019-08-30,3,0,
2019-09-30,2,1,MS
2019-10-31,2,1,INTC
2019-11-29,2,1,INTC
2019-12-31,3,2,"INTC,JNJ"
2020-01-31,3,2,"FCX,INTC"
2020-02-28,4,0,
2020-03-31,4,0,
2020-04-30,4,0,
2020-05-29,5,2,"JNJ,MS"
2020-06-30,2,2,"MS,UPS"
2020-07-31,2,1,UPS
2020-08-31,2,1,PFE
2020-09-30,3,1,PFE
2020-10-30,3,0,
2020-11-30,2,2,"MS,WFC"
2020-12-31,3,2,"MS,WFC"
2021-01-29,2,2,"INTC,WFC"
2021-02-26,1,1,INTC
2021-03-31,1,1,INTC
2021-04-30,1,1,CVX
2021-05-28,0,0,
2021-06-30,0,0,
2021-07-30,0,0,
2021-08-31,0,0,
2021-09-30,0,0,
2021-10-29,1,0,
2021-11-30,1,0,
2021-12-31,1,0,
2022-01-31,0,0,
2022-02-28,1,1,MCD
2022-03-31,1,1,MCD
2022-04-29,1,1,MCD
2022-05-31,4,0,
2022-06-30,4,0,
2022-07-29,3,0,
2022-08-31,3,0,
2022-09-30,4,0,
2022-10-31,5,2,"SBUX,WFC"
2022-11-30,5,3,"MCD,SBUX,WFC"
2022-12-30,3,1,MCD
2023-01-31,3,2,"MCD,WFC"
2023-02-28,1,0,
2023-03-31,1,1,INTC
2023-04-28,1,1,INTC
2023-05-31,3,1,INTC
2023-06-30,3,2,"FCX,INTC"
2023-07-31,3,2,"FCX,INTC"
2023-08-31,1,1,INTC
2023-09-29,2,1,INTC
2023-10-31,1,0,
2023-11-30,3,3,"BAC,INTC,WFC"
2023-12-29,4,3,"BAC,INTC,WFC"
2024-01-31,3,2,"INTC,WFC"
2024-02-29,3,1,INTC
2024-03-28,2,1,INTC
2024-04-30,2,0,
2024-05-31,2,1,DIS
2024-06-28,3,1,DIS
2024-07-31,2,0,
2024-08-30,3,0,
2024-09-30,3,0,
2024-10-31,2,0,
2024-11-29,1,0,
2024-12-31,2,0,
2025-01-31,2,2,"JNJ,UNH"
2025-02-28,3,0,
2025-03-31,3,0,
2025-04-30,2,0,
2025-05-30,1,0,
2025-06-30,1,0,
2025-07-31,2,0,
2025-08-29,1,0,
2025-09-30,1,0,
2025-10-31,1,0,
2025-11-28,1,0,
2025-12-31,2,1,DIS
2026-01-30,4,3,"DIS,INTC,SBUX"
2026-02-27,3,0,
2026-03-31,1,0,
2026-04-30,3,0,
2026-05-29,2,0,
2026-06-30,2,0,
2026-07-31,1,0,
2026-08-31,0,0,
