review_date,n_eligible,n_selected,tickers_selected
2016-06-30,10,8,"AMZN,CVX,HON,INTC,KO,MCD,NVDA,UPS"
2016-07-29,10,8,"CVX,HON,INTC,KO,UNH,UPS,WMT,XOM"
2016-08-31,17,8,"AMZN,CVX,FCX,GOOG,JNJ,MSFT,NVDA,UNH"
2016-09-30,19,8,"CVX,EBAY,GOOG,HON,INTC,JNJ,MRK,MSFT"
2016-10-31,13,8,"AMZN,CVX,EBAY,INTC,JNJ,MRK,UNH,WMT"
2016-11-30,10,8,"AMZN,GOOG,GOOGL,HON,MRK,MSFT,WMT,XOM"
2016-12-30,18,8,"BAC,FCX,MRK,MS,NVDA,UNH,UPS,XOM"
2017-01-31,19,8,"AMZN,AXP,BAC,CVX,FCX,MS,NVDA,UNH"
2017-02-28,15,8,"AMZN,BAC,CVX,EBAY,FCX,MS,NVDA,UNH"
2017-03-31,19,8,"AXP,BAC,EBAY,FCX,MRK,MS,NVDA,UNH"
2017-04-28,15,8,"AAPL,AXP,BAC,EBAY,INTC,MRK,MS,NVDA"
2017-05-31,11,8,"AAPL,AXP,BAC,EBAY,INTC,MS,MSFT,UNH"
2017-06-30,20,8,"AAPL,BAC,EBAY,GOOG,GOOGL,MS,MSFT,NVDA"
2017-07-31,20,8,"AAPL,AMZN,AXP,BAC,MCD,MS,NVDA,UNH"
2017-08-31,17,8,"AMZN,AXP,BAC,FCX,HON,MS,NVDA,V"
2017-09-29,19,8,"AAPL,BAC,FCX,MCD,MS,MSFT,NVDA,UNH"
2017-10-31,12,8,"ABT,CVX,EBAY,FCX,HON,JNJ,MS,PFE"
2017-11-30,11,8,"AAPL,ABT,GOOG,GOOGL,INTC,MSFT,NVDA,V"
2017-12-29,25,8,"AAPL,ABT,AMZN,MCD,NVDA,UNH,V,WMT"
2018-01-31,16,8,"AAPL,AXP,HON,INTC,JNJ,MCD,MS,UNH"
2018-02-28,21,8,"ABT,FCX,GOOG,MSFT,NVDA,UNH,V,WMT"
2018-03-29,22,8,"AMZN,BAC,FCX,INTC,MSFT,NVDA,TGT,UNH"
2018-04-30,15,8,"ABT,AMZN,BAC,INTC,MSFT,NVDA,TGT,V"
2018-05-31,18,8,"ABT,BAC,INTC,MSFT,NVDA,TGT,UNH,V"
2018-06-29,16,8,"AAPL,AMZN,FCX,INTC,MSFT,NVDA,TGT,V"
2018-07-31,15,8,"AAPL,AMZN,MSFT,NKE,NVDA,TGT,UNH,V"
2018-08-31,15,8,"AXP,BAC,GOOG,GOOGL,NKE,PFE,WFC,WMT"
2018-09-28,18,8,"AAPL,AMZN,MSFT,NKE,NVDA,TGT,UNH,V"
2018-10-31,16,8,"AAPL,ABT,MRK,MSFT,NKE,PFE,TGT,V"
2018-11-30,10,8,"ABT,AXP,DIS,INTC,MSFT,NKE,V,WMT"
2018-12-31,7,7,"ABT,DIS,KO,MCD,MRK,PFE,SBUX"
2019-01-31,9,8,"ABT,AMZN,KO,MCD,MRK,MSFT,PFE,SBUX"
2019-02-28,6,6,"CVX,DIS,JNJ,PFE,SBUX,WMT"
2019-03-29,15,8,"ABT,AMZN,AXP,MSFT,NKE,PFE,WMT,XOM"
2019-04-30,12,8,"AAPL,ABT,GOOG,GOOGL,MRK,NKE,TGT,WMT"
2019-05-31,14,8,"ABT,DIS,MCD,MRK,MSFT,SBUX,V,WMT"
2019-06-28,14,8,"AXP,DIS,HON,MRK,MSFT,PFE,SBUX,V"
2019-07-31,17,8,"ABT,DIS,MCD,MRK,MSFT,SBUX,V,WMT"
2019-08-30,14,8,"ABT,DIS,KO,MCD,MRK,MSFT,SBUX,V"
2019-09-30,14,8,"EBAY,KO,MCD,MRK,MSFT,SBUX,TGT,V"
2019-10-31,16,8,"ABT,MRK,MSFT,NKE,SBUX,TGT,V,WMT"
2019-11-29,14,8,"ABT,HON,INTC,NKE,NVDA,SBUX,V,WMT"
2019-12-31,15,8,"AXP,DIS,HON,MS,SBUX,TGT,V,WMT"
2020-01-31,19,8,"AAPL,BAC,DIS,INTC,NVDA,TGT,V,WMT"
2020-02-28,9,8,"AAPL,GOOG,GOOGL,INTC,KO,MSFT,NVDA,V"
2020-03-31,5,5,"AAPL,AMZN,INTC,MSFT,NVDA"
2020-04-30,8,8,"AAPL,ABT,INTC,MSFT,NVDA,TGT,UNH,WMT"
2020-05-29,12,8,"AAPL,ABT,AMZN,INTC,MSFT,NVDA,TGT,WMT"
2020-06-30,14,8,"GOOG,GOOGL,INTC,MSFT,NKE,NVDA,TGT,UNH"
2020-07-31,14,8,"AMZN,EBAY,GOOG,GOOGL,MSFT,NKE,NVDA,UNH"
2020-08-31,4,4,"EBAY,MS,PFE,UNH"
2020-09-30,20,8,"AAPL,AMZN,EBAY,FCX,MSFT,NVDA,UNH,UPS"
2020-10-30,17,8,"AAPL,AMZN,EBAY,FCX,MSFT,NVDA,TGT,UPS"
2020-11-30,15,8,"AAPL,ABT,AMZN,EBAY,GOOG,MSFT,NVDA,UPS"
2020-12-31,16,8,"AAPL,AMZN,EBAY,MSFT,NKE,NVDA,TGT,UPS"
2021-01-29,20,8,"AAPL,AMZN,EBAY,FCX,NKE,NVDA,TGT,UPS"
2021-02-26,22,8,"AAPL,AMZN,EBAY,FCX,MS,NVDA,TGT,UPS"
2021-03-31,25,8,"AAPL,DIS,EBAY,FCX,GOOG,MS,NVDA,UPS"
2021-04-30,23,8,"AAPL,AXP,BAC,DIS,FCX,MS,NVDA,TGT"
2021-05-28,24,8,"AAPL,AXP,BAC,DIS,FCX,GOOG,GOOGL,WFC"
2021-06-30,22,8,"AXP,BAC,FCX,GOOG,GOOGL,MS,UPS,WFC"
2021-07-30,25,8,"AXP,BAC,FCX,GOOG,MS,NVDA,WFC,XOM"
2021-08-31,21,8,"AXP,BAC,FCX,MS,NKE,TGT,WFC,XOM"
2021-09-30,18,8,"AXP,BAC,GOOG,GOOGL,MS,NVDA,WFC,XOM"
2021-10-29,12,8,"AXP,EBAY,FCX,GOOG,MS,PFE,WFC,XOM"
2021-11-30,17,8,"BAC,FCX,GOOG,GOOGL,MS,MSFT,WFC,XOM"
2021-12-31,17,8,"BAC,GOOG,GOOGL,MSFT,NVDA,PFE,WFC,XOM"
2022-01-31,19,8,"BAC,GOOG,GOOGL,MS,NVDA,PFE,UNH,WFC"
2022-02-28,12,8,"AXP,BAC,MSFT,NVDA,PFE,UNH,WFC,XOM"
2022-03-31,15,8,"AAPL,CVX,FCX,GOOGL,NVDA,PFE,UNH,XOM"
2022-04-29,10,8,"AXP,CVX,FCX,JNJ,KO,PFE,UNH,XOM"
2022-05-31,8,8,"CVX,JNJ,KO,MCD,MRK,PFE,UNH,XOM"
2022-06-30,8,8,"CVX,JNJ,KO,MCD,MRK,PFE,UNH,XOM"
2022-07-29,5,5,"JNJ,KO,MRK,PFE,UNH"
2022-08-31,6,6,"CVX,KO,MCD,MRK,UNH,XOM"
2022-09-30,3,3,"MRK,UNH,XOM"
2022-10-31,0,0,
2022-11-30,5,5,"CVX,MCD,UNH,V,XOM"
2022-12-30,10,8,"CVX,HON,JNJ,KO,MRK,UNH,WMT,XOM"
2023-01-31,8,8,"CVX,FCX,HON,KO,MCD,MRK,WMT,XOM"
2023-02-28,7,7,"MCD,MRK,MS,SBUX,V,WMT,XOM"
2023-03-31,5,5,"CVX,MRK,MS,SBUX,XOM"
2023-04-28,8,8,"CVX,HON,MRK,MS,NKE,NVDA,V,XOM"
2023-05-31,4,4,"MCD,MRK,V,WMT"
2023-06-30,11,8,"AMZN,FCX,GOOGL,MRK,MSFT,NVDA,WMT,XOM"
2023-07-31,9,8,"AMZN,AXP,MCD,MS,MSFT,NVDA,SBUX,V"
2023-08-31,9,8,"AAPL,FCX,INTC,MCD,MRK,MSFT,V,XOM"
2023-09-29,11,8,"AAPL,GOOG,GOOGL,INTC,MSFT,NVDA,V,XOM"
2023-10-31,9,8,"AAPL,AMZN,GOOG,GOOGL,INTC,MSFT,NVDA,WMT"
2023-11-30,6,6,"AMZN,GOOG,GOOGL,NVDA,UNH,WMT"
2023-12-29,11,8,"AAPL,AMZN,GOOG,GOOGL,MSFT,NVDA,V,WMT"
2024-01-31,14,8,"AAPL,AMZN,GOOG,GOOGL,INTC,MCD,MSFT,V"
2024-02-29,13,8,"ABT,GOOG,GOOGL,INTC,MRK,MSFT,V,WMT"
2024-03-28,12,8,"ABT,AMZN,GOOGL,INTC,MSFT,NVDA,V,WMT"
2024-04-30,18,8,"AMZN,AXP,BAC,GOOG,GOOGL,MSFT,NVDA,WFC"
2024-05-31,18,8,"AMZN,AXP,BAC,DIS,FCX,GOOG,GOOGL,WFC"
2024-06-28,20,8,"AMZN,AXP,BAC,FCX,GOOG,GOOGL,NVDA,WFC"
2024-07-31,15,8,"AMZN,BAC,GOOG,GOOGL,MSFT,NVDA,WFC,WMT"
2024-08-30,14,8,"AMZN,AXP,BAC,GOOG,GOOGL,MSFT,NVDA,WFC"
2024-09-30,19,8,"AAPL,AMZN,BAC,MSFT,NVDA,TGT,WFC,WMT"
2024-10-31,19,8,"AMZN,AXP,BAC,EBAY,GOOGL,MS,NVDA,WMT"
2024-11-29,13,8,"AMZN,EBAY,GOOG,GOOGL,KO,MS,NVDA,XOM"
2024-12-31,17,8,"AMZN,AXP,BAC,EBAY,MS,NVDA,WFC,WMT"
2025-01-31,11,8,"AAPL,AMZN,AXP,BAC,DIS,EBAY,GOOG,GOOGL"
2025-02-28,12,8,"AAPL,AMZN,AXP,BAC,EBAY,MS,WFC,WMT"
2025-03-31,10,8,"ABT,EBAY,KO,MS,SBUX,V,WFC,WMT"
2025-04-30,8,8,"ABT,EBAY,JNJ,KO,MCD,V,WFC,WMT"
2025-05-30,12,8,"ABT,AXP,KO,MCD,MS,V,WFC,WMT"
2025-06-30,6,6,"ABT,AMZN,EBAY,KO,V,WMT"
2025-07-31,16,8,"ABT,AXP,DIS,HON,MS,V,WFC,WMT"
2025-08-29,11,8,"AMZN,DIS,EBAY,MSFT,NVDA,V,WFC,WMT"
2025-09-30,16,8,"BAC,DIS,EBAY,GOOG,GOOGL,MS,NVDA,WFC"
2025-10-31,12,8,"BAC,EBAY,INTC,JNJ,MS,MSFT,WFC,WMT"
2025-11-28,11,8,"AMZN,AXP,EBAY,INTC,MS,MSFT,NVDA,WFC"
2025-12-31,20,8,"EBAY,GOOG,GOOGL,INTC,JNJ,MS,NVDA,WFC"
2026-01-30,13,8,"AXP,BAC,EBAY,FCX,INTC,MS,NVDA,WFC"
2026-02-27,11,8,"EBAY,FCX,GOOG,GOOGL,INTC,MS,NVDA,XOM"
2026-03-31,17,8,"FCX,GOOG,GOOGL,INTC,JNJ,MRK,MS,WMT"
2026-04-30,15,8,"CVX,EBAY,FCX,JNJ,MRK,NVDA,TGT,XOM"
2026-05-29,19,8,"FCX,GOOG,GOOGL,INTC,JNJ,MRK,NVDA,XOM"
2026-06-30,18,8,"AAPL,EBAY,FCX,GOOG,GOOGL,INTC,MS,XOM"
2026-07-31,21,8,"FCX,GOOG,GOOGL,INTC,JNJ,MRK,MS,UNH"
2026-08-31,20,8,"FCX,GOOG,GOOGL,INTC,JNJ,MRK,MS,TGT"
