review_date,n_eligible,n_selected,tickers_selected
2016-06-30,15,8,"CVX,FCX,INTC,JNJ,MCD,MRK,UPS,XOM"
2016-07-29,24,8,"ABT,CVX,EBAY,FCX,MS,TGT,V,XOM"
2016-08-31,24,8,"ABT,BAC,CVX,FCX,MS,V,WFC,XOM"
2016-09-30,23,8,"ABT,BAC,CVX,FCX,MS,UPS,V,XOM"
2016-10-31,19,8,"BAC,CVX,EBAY,FCX,JNJ,MS,UNH,UPS"
2016-11-30,24,8,"BAC,CVX,DIS,EBAY,FCX,MS,UPS,XOM"
2016-12-30,22,8,"BAC,CVX,DIS,EBAY,FCX,JNJ,MS,XOM"
2017-01-31,22,8,"ABT,BAC,CVX,DIS,EBAY,FCX,MS,UPS"
2017-02-28,26,8,"ABT,AXP,BAC,DIS,FCX,JNJ,PFE,WFC"
2017-03-31,27,8,"ABT,AXP,BAC,DIS,FCX,JNJ,MCD,PFE"
2017-04-28,26,8,"ABT,AXP,BAC,DIS,EBAY,MCD,PFE,WFC"
2017-05-31,23,8,"ABT,AXP,BAC,DIS,MCD,MRK,MS,PFE"
2017-06-30,25,8,"ABT,AXP,BAC,DIS,MCD,MS,NKE,WFC"
2017-07-31,27,8,"AXP,BAC,DIS,INTC,MCD,MS,NKE,WFC"
2017-08-31,23,8,"ABT,BAC,FCX,MCD,MRK,MS,UPS,V"
2017-09-29,27,8,"ABT,BAC,FCX,INTC,MS,TGT,WFC,XOM"
2017-10-31,27,8,"ABT,BAC,FCX,INTC,MS,TGT,WFC,XOM"
2017-11-30,27,8,"ABT,BAC,FCX,INTC,MS,SBUX,TGT,XOM"
2017-12-29,29,8,"ABT,BAC,DIS,FCX,MS,SBUX,TGT,XOM"
2018-01-31,28,8,"ABT,DIS,FCX,JNJ,MS,TGT,UPS,XOM"
2018-02-28,22,8,"ABT,BAC,FCX,HON,MS,MSFT,TGT,WFC"
2018-03-29,22,8,"ABT,BAC,FCX,HON,MS,MSFT,TGT,V"
2018-04-30,17,8,"ABT,BAC,MRK,MS,MSFT,PFE,TGT,V"
2018-05-31,22,8,"ABT,BAC,FCX,INTC,MSFT,TGT,UPS,XOM"
2018-06-29,19,8,"ABT,AXP,DIS,FCX,INTC,MSFT,V,XOM"
2018-07-31,23,8,"ABT,BAC,DIS,KO,MSFT,UPS,WFC,XOM"
2018-08-31,24,8,"BAC,DIS,JNJ,MCD,MSFT,UPS,WFC,XOM"
2018-09-28,24,8,"DIS,JNJ,KO,MCD,MSFT,SBUX,UPS,XOM"
2018-10-31,17,8,"AXP,DIS,JNJ,MSFT,SBUX,TGT,V,XOM"
2018-11-30,20,8,"CVX,DIS,INTC,MSFT,SBUX,UPS,V,XOM"
2018-12-31,8,8,"ABT,DIS,KO,MCD,MRK,PFE,SBUX,WMT"
2019-01-31,14,8,"ABT,AXP,DIS,JNJ,KO,PFE,SBUX,UNH"
2019-02-28,19,8,"ABT,BAC,DIS,EBAY,INTC,JNJ,UPS,XOM"
2019-03-29,23,8,"ABT,EBAY,INTC,JNJ,TGT,UPS,V,XOM"
2019-04-30,24,8,"ABT,BAC,EBAY,INTC,JNJ,MS,V,XOM"
2019-05-31,14,8,"ABT,AXP,DIS,EBAY,HON,KO,TGT,V"
2019-06-28,22,8,"ABT,BAC,EBAY,JNJ,MS,TGT,V,XOM"
2019-07-31,25,8,"ABT,GOOG,GOOGL,HON,MS,NVDA,UPS,WFC"
2019-08-30,21,8,"ABT,CVX,EBAY,HON,KO,NVDA,UPS,V"
2019-09-30,24,8,"ABT,CVX,EBAY,HON,INTC,KO,MS,V"
2019-10-31,22,8,"HON,INTC,KO,MS,UNH,UPS,V,WFC"
2019-11-29,24,8,"FCX,INTC,JNJ,KO,MS,UNH,V,WFC"
