review_date,n_eligible,n_selected,tickers_selected
2016-06-30,10,7,"CVX,INTC,MCD,MRK,NVDA,PFE,UPS"
2016-07-29,10,7,"CVX,INTC,MRK,UNH,UPS,V,XOM"
2016-08-31,17,8,"CVX,FCX,JNJ,NVDA,PFE,UNH,UPS,XOM"
2016-09-30,19,8,"CVX,EBAY,INTC,JNJ,MRK,UNH,V,XOM"
2016-10-31,13,8,"CVX,EBAY,INTC,JNJ,MRK,UNH,UPS,V"
2016-11-30,10,5,"HON,INTC,MCD,MRK,XOM"
2016-12-30,18,8,"BAC,FCX,MRK,MS,NVDA,UNH,UPS,XOM"
2017-01-31,19,8,"AMZN,AXP,BAC,CVX,FCX,MS,NVDA,UNH"
2017-02-28,15,8,"AMZN,BAC,CVX,EBAY,FCX,MS,NVDA,UNH"
2017-03-31,19,8,"AXP,BAC,EBAY,FCX,MRK,MS,NVDA,UNH"
2017-04-28,15,8,"AXP,BAC,EBAY,INTC,MRK,MS,NVDA,V"
2017-05-31,11,8,"AXP,BAC,DIS,EBAY,INTC,MRK,MS,UNH"
2017-06-30,20,8,"BAC,EBAY,MCD,MRK,MS,SBUX,V,WFC"
2017-07-31,20,8,"AXP,BAC,MCD,MRK,MS,UNH,V,WFC"
2017-08-31,17,8,"AXP,BAC,CVX,FCX,GOOG,GOOGL,MS,V"
2017-09-29,19,8,"ABT,BAC,FCX,GOOGL,MCD,MS,UNH,V"
2017-10-31,12,8,"ABT,CVX,EBAY,FCX,HON,JNJ,MS,PFE"
2017-11-30,11,8,"ABT,GOOG,GOOGL,INTC,JNJ,KO,V,WFC"
2017-12-29,25,8,"ABT,BAC,GOOG,GOOGL,HON,MCD,UNH,V"
2018-01-31,16,8,"AXP,HON,INTC,JNJ,MCD,MS,PFE,UNH"
2018-02-28,21,8,"ABT,FCX,GOOG,INTC,MSFT,NVDA,UNH,V"
2018-03-29,22,8,"BAC,FCX,INTC,MSFT,NVDA,TGT,UNH,V"
2018-04-30,15,8,"ABT,BAC,INTC,MS,MSFT,NVDA,TGT,V"
2018-05-31,18,8,"ABT,BAC,INTC,MSFT,NVDA,TGT,UNH,V"
2018-06-29,16,8,"AAPL,AMZN,FCX,INTC,MSFT,TGT,UNH,V"
2018-07-31,15,8,"AAPL,AMZN,CVX,MSFT,NKE,TGT,UNH,V"
2018-08-31,15,8,"AXP,BAC,DIS,HON,NKE,PFE,WFC,XOM"
2018-09-28,18,8,"AMZN,AXP,MSFT,NKE,NVDA,TGT,UNH,V"
2018-10-31,16,8,"ABT,MRK,MSFT,NKE,PFE,TGT,UNH,V"
2018-11-30,10,8,"ABT,AXP,DIS,INTC,MSFT,NKE,SBUX,V"
2018-12-31,7,6,"ABT,DIS,KO,MCD,PFE,SBUX"
2019-01-31,9,8,"ABT,AMZN,KO,MCD,MRK,MSFT,PFE,SBUX"
2019-02-28,6,5,"CVX,DIS,JNJ,PFE,SBUX"
2019-03-29,15,8,"ABT,AMZN,AXP,MSFT,NKE,PFE,UPS,XOM"
2019-04-30,12,8,"AAPL,ABT,GOOG,GOOGL,JNJ,NKE,TGT,XOM"
2019-05-31,14,8,"ABT,DIS,HON,MCD,MRK,MSFT,SBUX,V"
2019-06-28,14,8,"AXP,DIS,HON,KO,MSFT,PFE,SBUX,V"
2019-07-31,17,8,"ABT,AXP,DIS,HON,MCD,MSFT,SBUX,V"
2019-08-30,14,8,"ABT,DIS,KO,MCD,MRK,MSFT,SBUX,V"
2019-09-30,14,8,"EBAY,KO,MCD,MRK,MSFT,SBUX,TGT,V"
