date,nav
2014-06-02,100.0
2014-06-03,100.0
2014-06-04,100.0
2014-06-05,100.0
2014-06-06,100.0
2014-06-09,100.0
2014-06-10,100.0
2014-06-11,100.0
2014-06-12,100.0
2014-06-13,100.0
2014-06-16,100.0
2014-06-17,100.0
2014-06-18,100.0
2014-06-19,100.0
2014-06-20,100.0
2014-06-23,100.0
2014-06-24,100.0
2014-06-25,100.0
2014-06-26,100.0
2014-06-27,100.0
2014-06-30,100.0
2014-07-01,99.9
2014-07-02,99.95251312142541
2014-07-03,100.29272753233604
2014-07-07,100.29081930048581
2014-07-08,99.62095702616925
2014-07-09,100.31174249367358
2014-07-10,100.19131883858793
2014-07-11,100.17173121621866
2014-07-14,100.51741417306636
2014-07-15,100.21528480997284
2014-07-16,101.53694077734981
2014-07-17,100.54055074164951
2014-07-18,100.811185992986
2014-07-21,100.7920297421959
2014-07-22,101.49533686629876
2014-07-23,101.32974209583442
2014-07-24,101.30453214323683
2014-07-25,101.0878991928913
2014-07-28,101.15066888644655
2014-07-29,101.03591863180121
2014-07-30,101.40890118744377
2014-07-31,99.32942584775937
2014-08-01,99.13772854306917
2014-08-04,100.20536409646037
2014-08-05,98.99165583719623
2014-08-06,98.81324584305563
2014-08-07,98.33305996437535
2014-08-08,98.88981056699532
2014-08-11,99.50835331215357
2014-08-12,99.3114226538549
2014-08-13,100.38795420640412
2014-08-14,100.59459015184459
2014-08-15,100.85905111427725
2014-08-18,101.74690974773122
2014-08-19,102.25824839858782
2014-08-20,102.26419237512054
2014-08-21,102.65724572106794
2014-08-22,102.49817860211822
2014-08-25,102.6195906754668
2014-08-26,102.47691418438981
2014-08-27,102.4322031164541
2014-08-28,102.09897912321449
2014-08-29,102.49471242663239
2014-09-02,102.34604491587709
2014-09-03,101.87972967267609
2014-09-04,101.9417380168518
2014-09-05,102.31763679591747
2014-09-08,102.42046913920828
2014-09-09,101.54951672385609
2014-09-10,102.3238669266727
2014-09-11,102.55135392152849
2014-09-12,102.3183885969834
2014-09-15,102.43098721090776
2014-09-16,102.97099054009756
2014-09-17,103.24179584882917
2014-09-18,103.78809277057883
2014-09-19,103.58035106499254
2014-09-22,102.53887255372342
2014-09-23,101.75624064847833
2014-09-24,102.21776229058672
2014-09-25,100.1610864646216
2014-09-26,101.11835568631119
2014-09-29,100.98276962328535
2014-09-30,101.1147872263765
2014-10-01,99.45328812388732
2014-10-02,99.59017911263099
2014-10-03,100.82963427827
2014-10-06,100.73965063708802
2014-10-07,99.12208230381461
2014-10-08,101.00043901052291
2014-10-09,99.12947504201108
2014-10-10,98.0176432656041
2014-10-13,96.61998884026502
2014-10-14,96.69923300318342
2014-10-15,95.25167494014048
2014-10-16,95.44312177929544
2014-10-17,97.29793042371244
2014-10-20,98.51112870532855
2014-10-21,100.88749297103386
2014-10-22,99.8727174155186
2014-10-23,101.210529809772
2014-10-24,102.20231239077192
2014-10-27,102.08476579240201
2014-10-28,103.27721320058082
2014-10-29,103.49398526734339
2014-10-30,103.43274964555091
2014-10-31,104.88466024367274
2014-11-03,105.20800364616572
2014-11-04,105.0633758787094
2014-11-05,105.46251973669938
2014-11-06,106.11526142708483
2014-11-07,105.4231894274662
2014-11-10,105.7156747942778
2014-11-11,105.91398561491805
2014-11-12,106.26475725360136
2014-11-13,106.85651754765813
2014-11-14,106.8481519675505
2014-11-17,107.0469712935188
2014-11-18,107.55949383557288
2014-11-19,106.94075969213856
2014-11-20,107.71670367728417
2014-11-21,107.55586269099456
2014-11-24,108.3708068877397
2014-11-25,108.2689478397436
2014-11-26,108.80475695802224
2014-11-28,109.27704257927685
2014-12-01,108.64463658626856
2014-12-02,109.30766735459841
2014-12-03,109.67758015756468
2014-12-04,109.72739964504257
2014-12-05,109.84954916194492
2014-12-08,109.03743514830853
2014-12-09,108.91607646306664
2014-12-10,107.4745080410777
