review_date,n_eligible,n_selected,tickers_selected
2014-06-30,24,24,"AAPL,ABT,AXP,CVX,DIS,FCX,GOOG,GOOGL,HON,INTC,JNJ,KO,MCD,MRK,MS,MSFT,NKE,NVDA,SBUX,UNH,UPS,V,WFC,XOM"
2014-07-31,19,19,"AAPL,ABT,CVX,DIS,FCX,GOOG,GOOGL,HON,INTC,JNJ,MRK,MS,MSFT,NKE,NVDA,SBUX,UNH,WFC,XOM"
2014-08-29,24,24,"AAPL,ABT,AXP,BAC,CVX,DIS,EBAY,FCX,GOOG,GOOGL,HON,INTC,JNJ,KO,MRK,MS,MSFT,NKE,NVDA,SBUX,TGT,UNH,WFC,XOM"
2014-09-30,21,21,"AAPL,ABT,BAC,DIS,EBAY,GOOG,GOOGL,HON,INTC,JNJ,KO,MRK,MS,MSFT,NKE,NVDA,SBUX,TGT,UNH,WFC,WMT"
2014-10-31,22,22,"AAPL,ABT,AXP,BAC,DIS,HON,INTC,JNJ,KO,MRK,MS,MSFT,NKE,NVDA,PFE,SBUX,TGT,UNH,UPS,V,WFC,WMT"
2014-11-28,25,25,"AAPL,ABT,AMZN,AXP,BAC,DIS,EBAY,HON,INTC,JNJ,KO,MCD,MRK,MS,MSFT,NKE,NVDA,PFE,SBUX,TGT,UNH,UPS,V,WFC,WMT"
2014-12-31,22,22,"AAPL,ABT,AXP,BAC,DIS,EBAY,HON,INTC,JNJ,KO,MS,MSFT,NKE,NVDA,PFE,SBUX,TGT,UNH,UPS,V,WFC,WMT"
2015-01-30,18,18,"AAPL,ABT,AMZN,DIS,EBAY,HON,INTC,MRK,MS,NKE,NVDA,PFE,SBUX,TGT,UNH,V,WFC,WMT"
2015-02-27,24,24,"AAPL,ABT,AMZN,DIS,EBAY,GOOG,GOOGL,HON,INTC,JNJ,KO,MCD,MRK,MS,NKE,NVDA,PFE,SBUX,TGT,UNH,UPS,V,WFC,WMT"
2015-03-31,17,17,"AAPL,ABT,AMZN,DIS,EBAY,HON,MCD,MS,NKE,NVDA,PFE,SBUX,TGT,UNH,V,WFC,WMT"
2015-04-30,18,18,"AAPL,ABT,AMZN,DIS,EBAY,HON,MCD,MRK,MS,MSFT,NKE,NVDA,PFE,SBUX,TGT,UNH,V,WFC"
2015-05-29,20,20,"AAPL,ABT,AMZN,BAC,DIS,EBAY,HON,INTC,MCD,MRK,MS,MSFT,NKE,NVDA,PFE,SBUX,TGT,UNH,V,WFC"
2015-06-30,16,16,"AAPL,ABT,AMZN,BAC,DIS,EBAY,HON,MCD,MS,NKE,PFE,SBUX,TGT,UNH,V,WFC"
2015-07-31,22,22,"AAPL,ABT,AMZN,BAC,DIS,EBAY,GOOG,GOOGL,HON,KO,MCD,MRK,MS,MSFT,NKE,PFE,SBUX,TGT,UNH,UPS,V,WFC"
2015-08-31,11,11,"AMZN,EBAY,GOOG,GOOGL,MCD,NKE,NVDA,SBUX,TGT,UNH,V"
2015-09-30,10,10,"AMZN,GOOG,GOOGL,MCD,NKE,NVDA,SBUX,TGT,UNH,V"
2015-10-30,20,20,"AMZN,BAC,DIS,EBAY,GOOG,GOOGL,HON,INTC,JNJ,KO,MCD,MSFT,NKE,NVDA,PFE,SBUX,UNH,UPS,V,XOM"
2015-11-30,19,19,"AMZN,BAC,DIS,EBAY,GOOG,GOOGL,HON,INTC,JNJ,KO,MCD,MSFT,NKE,NVDA,SBUX,UPS,V,WFC,XOM"
2015-12-31,16,16,"AMZN,BAC,EBAY,GOOG,GOOGL,HON,INTC,JNJ,KO,MCD,MSFT,NKE,NVDA,SBUX,UNH,V"
2016-01-29,12,12,"AMZN,GOOG,GOOGL,HON,JNJ,KO,MCD,MSFT,NKE,NVDA,SBUX,V"
2016-02-29,15,15,"AMZN,GOOG,GOOGL,HON,JNJ,KO,MCD,MSFT,NKE,NVDA,SBUX,TGT,UNH,WMT,XOM"
2016-03-31,21,21,"AMZN,CVX,FCX,GOOG,GOOGL,HON,INTC,JNJ,KO,MCD,MRK,MSFT,NKE,NVDA,SBUX,TGT,UNH,UPS,V,WMT,XOM"
2016-04-29,16,16,"AMZN,CVX,FCX,HON,JNJ,KO,MCD,MRK,NVDA,PFE,TGT,UNH,UPS,V,WMT,XOM"
2016-05-31,20,20,"AMZN,CVX,FCX,GOOG,GOOGL,HON,INTC,JNJ,KO,MCD,MRK,MSFT,NVDA,PFE,UNH,UPS,V,WFC,WMT,XOM"
2016-06-30,15,15,"AMZN,CVX,FCX,HON,INTC,JNJ,KO,MCD,MRK,NVDA,PFE,UNH,UPS,WMT,XOM"
2016-07-29,24,24,"AAPL,ABT,AMZN,AXP,CVX,EBAY,FCX,GOOG,GOOGL,HON,INTC,JNJ,KO,MRK,MS,MSFT,NVDA,PFE,TGT,UNH,UPS,V,WMT,XOM"
2016-08-31,24,24,"AAPL,ABT,AMZN,AXP,BAC,CVX,EBAY,FCX,GOOG,GOOGL,HON,INTC,JNJ,MRK,MS,MSFT,NVDA,PFE,UNH,UPS,V,WFC,WMT,XOM"
2016-09-30,23,23,"AAPL,ABT,AMZN,AXP,BAC,CVX,EBAY,FCX,GOOG,GOOGL,HON,INTC,JNJ,MRK,MS,MSFT,NVDA,PFE,UNH,UPS,V,WMT,XOM"
2016-10-31,19,19,"AAPL,AMZN,AXP,BAC,CVX,EBAY,FCX,GOOG,GOOGL,INTC,JNJ,MRK,MS,MSFT,NVDA,UNH,UPS,V,WMT"
2016-11-30,24,24,"AAPL,AMZN,AXP,BAC,CVX,DIS,EBAY,FCX,GOOG,GOOGL,HON,INTC,MCD,MRK,MS,MSFT,NVDA,SBUX,TGT,UNH,UPS,WFC,WMT,XOM"
2016-12-30,22,22,"AAPL,AMZN,AXP,BAC,CVX,DIS,EBAY,FCX,GOOG,GOOGL,HON,INTC,JNJ,MCD,MRK,MS,MSFT,NVDA,UNH,UPS,WFC,XOM"
2017-01-31,22,22,"AAPL,ABT,AMZN,AXP,BAC,CVX,DIS,EBAY,FCX,GOOG,GOOGL,HON,INTC,MCD,MRK,MS,MSFT,NVDA,UNH,UPS,V,WFC"
2017-02-28,26,26,"AAPL,ABT,AMZN,AXP,BAC,CVX,DIS,EBAY,FCX,GOOG,GOOGL,HON,INTC,JNJ,MCD,MRK,MS,MSFT,NKE,NVDA,PFE,SBUX,UNH,V,WFC,WMT"
2017-03-31,27,27,"AAPL,ABT,AMZN,AXP,BAC,CVX,DIS,EBAY,FCX,GOOG,GOOGL,HON,INTC,JNJ,KO,MCD,MRK,MS,MSFT,NKE,NVDA,PFE,SBUX,UNH,V,WFC,WMT"
2017-04-28,26,26,"AAPL,ABT,AMZN,AXP,BAC,CVX,DIS,EBAY,GOOG,GOOGL,HON,INTC,JNJ,KO,MCD,MRK,MS,MSFT,NKE,NVDA,PFE,SBUX,UNH,V,WFC,WMT"
2017-05-31,23,23,"AAPL,ABT,AMZN,AXP,BAC,DIS,EBAY,GOOG,GOOGL,HON,INTC,JNJ,KO,MCD,MRK,MS,MSFT,NVDA,PFE,SBUX,UNH,V,WMT"
2017-06-30,25,25,"AAPL,ABT,AMZN,AXP,BAC,DIS,EBAY,GOOG,GOOGL,HON,JNJ,KO,MCD,MRK,MS,MSFT,NKE,NVDA,PFE,SBUX,UNH,UPS,V,WFC,WMT"
2017-07-31,27,27,"AAPL,ABT,AMZN,AXP,BAC,CVX,DIS,EBAY,FCX,GOOG,GOOGL,HON,INTC,JNJ,KO,MCD,MRK,MS,MSFT,NKE,NVDA,PFE,UNH,UPS,V,WFC,WMT"
2017-08-31,23,23,"AAPL,ABT,AMZN,AXP,BAC,CVX,EBAY,FCX,GOOG,GOOGL,HON,JNJ,KO,MCD,MRK,MS,MSFT,NVDA,PFE,UNH,UPS,V,WMT"
2017-09-29,27,27,"AAPL,ABT,AMZN,AXP,BAC,CVX,EBAY,FCX,GOOG,GOOGL,HON,INTC,JNJ,KO,MCD,MRK,MS,MSFT,NVDA,PFE,TGT,UNH,UPS,V,WFC,WMT,XOM"
2017-10-31,27,27,"AAPL,ABT,AMZN,AXP,BAC,CVX,EBAY,FCX,GOOG,GOOGL,HON,INTC,JNJ,KO,MCD,MS,MSFT,NKE,NVDA,PFE,TGT,UNH,UPS,V,WFC,WMT,XOM"
2017-11-30,27,27,"AAPL,ABT,AMZN,AXP,BAC,CVX,FCX,GOOG,GOOGL,HON,INTC,JNJ,KO,MCD,MS,MSFT,NKE,NVDA,PFE,SBUX,TGT,UNH,UPS,V,WFC,WMT,XOM"
2017-12-29,29,29,"AAPL,ABT,AMZN,AXP,BAC,CVX,DIS,EBAY,FCX,GOOG,GOOGL,HON,INTC,JNJ,KO,MCD,MS,MSFT,NKE,NVDA,PFE,SBUX,TGT,UNH,UPS,V,WFC,WMT,XOM"
