review_date,n_eligible,n_selected,tickers_selected
2014-06-30,24,6,"AAPL,DIS,INTC,JNJ,NVDA,WFC"
2014-07-31,19,6,"AAPL,ABT,DIS,FCX,INTC,MSFT"
2014-08-29,24,6,"AAPL,DIS,FCX,INTC,MS,MSFT"
2014-09-30,21,6,"AAPL,DIS,INTC,MS,MSFT,NKE"
2014-10-31,22,6,"AAPL,BAC,INTC,MSFT,NKE,UNH"
2014-11-28,25,6,"AAPL,INTC,MSFT,NKE,TGT,UNH"
2014-12-31,22,6,"AAPL,INTC,NKE,TGT,UNH,V"
2015-01-30,18,6,"AAPL,NKE,TGT,UNH,V,WMT"
2015-02-27,24,6,"AAPL,DIS,PFE,SBUX,TGT,UNH"
2015-03-31,17,6,"AAPL,AMZN,DIS,SBUX,TGT,UNH"
2015-04-30,18,6,"AAPL,AMZN,DIS,SBUX,TGT,UNH"
2015-05-29,20,6,"AMZN,DIS,MS,SBUX,TGT,UNH"
2015-06-30,16,6,"AMZN,DIS,MS,NKE,SBUX,UNH"
2015-07-31,22,6,"AMZN,DIS,NKE,SBUX,UNH,V"
2015-08-31,11,6,"AMZN,GOOG,GOOGL,NKE,SBUX,V"
2015-09-30,10,6,"AMZN,GOOG,GOOGL,NKE,NVDA,SBUX"
2015-10-30,20,6,"AMZN,GOOG,GOOGL,NKE,NVDA,SBUX"
2015-11-30,19,6,"AMZN,GOOG,GOOGL,MSFT,NKE,NVDA"
2015-12-31,16,6,"AMZN,GOOG,GOOGL,MCD,MSFT,NVDA"
2016-01-29,12,6,"AMZN,GOOG,GOOGL,MCD,MSFT,NVDA"
2016-02-29,15,6,"JNJ,MCD,MSFT,NVDA,TGT,WMT"
2016-03-31,21,6,"FCX,HON,JNJ,MCD,MSFT,NVDA"
2016-04-29,16,6,"AMZN,FCX,HON,MCD,NVDA,UNH"
2016-05-31,20,6,"AMZN,CVX,FCX,MCD,NVDA,UNH"
2016-06-30,15,6,"AMZN,CVX,FCX,NVDA,PFE,XOM"
2016-07-29,24,6,"AMZN,EBAY,FCX,INTC,JNJ,NVDA"
2016-08-31,24,6,"AMZN,EBAY,INTC,MS,MSFT,NVDA"
2016-09-30,23,6,"AMZN,BAC,EBAY,INTC,MS,NVDA"
2016-10-31,19,6,"AAPL,AMZN,BAC,MS,MSFT,NVDA"
2016-11-30,24,6,"BAC,CVX,FCX,MS,NVDA,UNH"
2016-12-30,22,6,"BAC,FCX,MS,NVDA,UNH,WFC"
2017-01-31,22,6,"BAC,FCX,MS,NVDA,UNH,WFC"
2017-02-28,26,6,"AAPL,AXP,BAC,EBAY,MS,NVDA"
2017-03-31,27,6,"AAPL,ABT,AMZN,BAC,MS,NVDA"
