review_date,n_eligible,n_selected,tickers_selected
2014-06-30,30,8,"AAPL,DIS,INTC,JNJ,MRK,MSFT,NVDA,WFC"
2014-07-31,30,8,"AAPL,ABT,DIS,FCX,GOOGL,INTC,MSFT,WFC"
2014-08-29,30,8,"AAPL,ABT,DIS,FCX,INTC,MS,MSFT,WFC"
2014-09-30,30,8,"AAPL,ABT,DIS,INTC,MS,MSFT,NKE,UNH"
2014-10-31,30,8,"AAPL,BAC,DIS,INTC,MS,MSFT,NKE,UNH"
2014-11-28,30,8,"AAPL,ABT,DIS,INTC,MSFT,NKE,TGT,UNH"
2014-12-31,30,8,"AAPL,INTC,MSFT,NKE,TGT,UNH,V,WMT"
2015-01-30,30,8,"AAPL,INTC,MS,NKE,TGT,UNH,V,WMT"
2015-02-27,30,8,"AAPL,DIS,NKE,PFE,SBUX,TGT,UNH,WMT"
2015-03-31,30,8,"AAPL,DIS,NKE,PFE,SBUX,TGT,UNH,V"
2015-04-30,30,8,"AAPL,AMZN,DIS,PFE,SBUX,TGT,UNH,V"
2015-05-29,30,8,"AAPL,AMZN,DIS,NKE,PFE,SBUX,TGT,UNH"
2015-06-30,30,8,"AAPL,ABT,AMZN,DIS,NKE,SBUX,TGT,UNH"
2015-07-31,30,8,"AMZN,DIS,MS,NKE,SBUX,TGT,UNH,V"
2015-08-31,30,8,"AMZN,EBAY,GOOGL,NKE,SBUX,TGT,UNH,V"
2015-09-30,30,8,"AMZN,EBAY,GOOG,GOOGL,NKE,NVDA,SBUX,V"
2015-10-30,30,8,"AMZN,GOOG,GOOGL,MCD,NKE,NVDA,SBUX,V"
2015-11-30,30,8,"AMZN,GOOG,GOOGL,MCD,MSFT,NKE,NVDA,SBUX"
2015-12-31,30,8,"AMZN,GOOG,GOOGL,MCD,MSFT,NVDA,SBUX,V"
2016-01-29,30,8,"AMZN,GOOG,GOOGL,KO,MCD,MSFT,NKE,NVDA"
2016-02-29,30,8,"AMZN,GOOG,GOOGL,JNJ,KO,MCD,MSFT,NVDA"
2016-03-31,30,8,"GOOG,GOOGL,HON,JNJ,KO,MCD,MSFT,NVDA"
2016-04-29,30,8,"GOOG,GOOGL,HON,JNJ,KO,MCD,NVDA,UNH"
2016-05-31,30,8,"AMZN,CVX,FCX,HON,JNJ,MCD,NVDA,UNH"
2016-06-30,30,8,"AMZN,CVX,JNJ,NVDA,PFE,UNH,WMT,XOM"
2016-07-29,30,8,"AMZN,FCX,INTC,JNJ,NVDA,PFE,UNH,XOM"
2016-08-31,30,8,"AMZN,EBAY,FCX,INTC,JNJ,MRK,MSFT,NVDA"
2016-09-30,30,8,"AMZN,BAC,EBAY,INTC,MRK,MS,MSFT,NVDA"
2016-10-31,30,8,"AAPL,AMZN,BAC,CVX,INTC,MS,MSFT,NVDA"
2016-11-30,30,8,"AAPL,BAC,CVX,FCX,MS,MSFT,NVDA,UNH"
2016-12-30,30,8,"AXP,BAC,CVX,FCX,MS,NVDA,UNH,WFC"
2017-01-31,30,8,"AXP,BAC,CVX,FCX,MS,NVDA,UNH,WFC"
2017-02-28,30,8,"AAPL,AXP,BAC,DIS,EBAY,MS,NVDA,UNH"
2017-03-31,30,8,"AAPL,ABT,AMZN,AXP,BAC,DIS,MS,NVDA"
2017-04-28,30,8,"AAPL,BAC,DIS,HON,MCD,MS,NVDA,UNH"
2017-05-31,30,8,"AAPL,AMZN,GOOG,GOOGL,MCD,MSFT,NVDA,UNH"
2017-06-30,30,8,"AAPL,ABT,AMZN,GOOG,GOOGL,MCD,NVDA,UNH"
2017-07-31,30,8,"AAPL,ABT,AMZN,JNJ,MCD,NVDA,UNH,V"
2017-08-31,30,8,"AAPL,ABT,AXP,FCX,MCD,NVDA,UNH,V"
2017-09-29,30,8,"AAPL,ABT,MCD,MS,MSFT,NVDA,UNH,V"
2017-10-31,30,8,"ABT,AXP,BAC,INTC,MSFT,NVDA,UNH,V"
2017-11-30,30,8,"ABT,AXP,BAC,INTC,MSFT,NVDA,UNH,WMT"
2017-12-29,30,8,"AAPL,AMZN,INTC,MSFT,NVDA,UNH,V,WMT"
2018-01-31,30,8,"ABT,AMZN,BAC,FCX,INTC,MSFT,NVDA,WMT"
2018-02-28,30,8,"AMZN,BAC,FCX,INTC,MSFT,NVDA,TGT,UNH"
2018-03-29,30,8,"ABT,AMZN,BAC,INTC,MSFT,NVDA,TGT,V"
2018-04-30,30,8,"ABT,AMZN,INTC,MSFT,NKE,NVDA,TGT,V"
2018-05-31,30,8,"AMZN,CVX,INTC,MSFT,NKE,TGT,UNH,V"
2018-06-29,30,8,"AMZN,INTC,MSFT,NKE,NVDA,TGT,UNH,V"
2018-07-31,30,8,"AAPL,ABT,AMZN,MSFT,NKE,TGT,UNH,V"
2018-08-31,30,8,"AAPL,AMZN,MSFT,NKE,PFE,TGT,UNH,V"
2018-09-28,30,8,"AAPL,AMZN,MSFT,NKE,NVDA,PFE,TGT,V"
2018-10-31,30,8,"AAPL,ABT,AMZN,MRK,MSFT,NKE,PFE,TGT"
2018-11-30,30,8,"ABT,DIS,JNJ,KO,MCD,MRK,PFE,UNH"
2018-12-31,30,8,"ABT,KO,MCD,MRK,MSFT,PFE,SBUX,UNH"
2019-01-31,30,8,"ABT,KO,MCD,MRK,NKE,PFE,SBUX,UNH"
2019-02-28,30,8,"ABT,EBAY,MCD,MRK,NKE,SBUX,V,WMT"
2019-03-29,30,8,"ABT,EBAY,INTC,MCD,MRK,NKE,SBUX,V"
2019-04-30,30,8,"ABT,EBAY,HON,MRK,MSFT,NKE,SBUX,V"
2019-05-31,30,8,"AMZN,DIS,HON,MCD,MSFT,SBUX,V,WMT"
2019-06-28,30,8,"AXP,DIS,HON,MCD,MSFT,SBUX,V,WMT"
2019-07-31,30,8,"ABT,AXP,DIS,MCD,MSFT,SBUX,V,WMT"
2019-08-30,30,8,"ABT,DIS,KO,MCD,MSFT,SBUX,V,WMT"
2019-09-30,30,8,"KO,MCD,MSFT,SBUX,TGT,UPS,V,WMT"
2019-10-31,30,8,"AAPL,KO,MSFT,NKE,SBUX,TGT,V,WMT"
2019-11-29,30,8,"AAPL,BAC,GOOG,INTC,MSFT,NKE,NVDA,TGT"
2019-12-31,30,8,"AAPL,BAC,INTC,MS,MSFT,NVDA,TGT,UNH"
2020-01-31,30,8,"AAPL,INTC,MS,MSFT,NKE,NVDA,TGT,V"
2020-02-28,30,8,"AAPL,GOOG,GOOGL,INTC,MS,MSFT,NVDA,V"
2020-03-31,30,8,"AAPL,AMZN,GOOG,GOOGL,MSFT,NVDA,V,WMT"
2020-04-30,30,8,"AAPL,AMZN,JNJ,MSFT,NVDA,TGT,UNH,WMT"
2020-05-29,30,8,"AAPL,ABT,AMZN,EBAY,JNJ,MSFT,NVDA,WMT"
2020-06-30,30,8,"AAPL,AMZN,EBAY,GOOG,GOOGL,MSFT,NVDA,TGT"
2020-07-31,30,8,"AAPL,AMZN,EBAY,FCX,MSFT,NVDA,TGT,UPS"
2020-08-31,30,8,"AAPL,AMZN,EBAY,FCX,MSFT,NVDA,TGT,UPS"
2020-09-30,30,8,"AAPL,AMZN,EBAY,FCX,NKE,NVDA,TGT,UPS"
2020-10-30,30,8,"AAPL,AMZN,FCX,MCD,NKE,NVDA,TGT,UPS"
2020-11-30,30,8,"AAPL,AMZN,FCX,HON,NKE,NVDA,TGT,UPS"
2020-12-31,30,8,"AAPL,DIS,FCX,HON,MS,NVDA,SBUX,TGT"
2021-01-29,30,8,"AAPL,DIS,FCX,HON,MS,NKE,NVDA,TGT"
2021-02-26,30,8,"AAPL,DIS,FCX,MS,NVDA,TGT,WFC,XOM"
2021-03-31,30,8,"BAC,CVX,FCX,GOOG,GOOGL,MS,WFC,XOM"
2021-04-30,30,8,"AXP,BAC,FCX,GOOG,GOOGL,MS,WFC,XOM"
2021-05-28,30,8,"BAC,FCX,GOOG,GOOGL,MS,UNH,UPS,WFC"
2021-06-30,30,8,"AXP,FCX,GOOG,MS,NVDA,TGT,UPS,WFC"
2021-07-30,30,8,"AXP,FCX,GOOG,GOOGL,MS,NVDA,TGT,WFC"
2021-08-31,30,8,"GOOG,GOOGL,MS,MSFT,NKE,NVDA,PFE,TGT"
2021-09-30,30,8,"AAPL,GOOG,GOOGL,MS,MSFT,NVDA,PFE,WFC"
2021-10-29,30,8,"BAC,GOOG,GOOGL,MS,MSFT,NVDA,WFC,XOM"
2021-11-30,30,8,"BAC,CVX,GOOG,GOOGL,MSFT,NVDA,WFC,XOM"
2021-12-31,30,8,"AAPL,ABT,GOOG,GOOGL,MSFT,NVDA,PFE,UNH"
2022-01-31,30,8,"AAPL,BAC,CVX,MCD,NVDA,PFE,UNH,XOM"
2022-02-28,30,8,"AAPL,AXP,CVX,KO,PFE,UNH,WFC,XOM"
2022-03-31,30,8,"AAPL,AXP,CVX,FCX,KO,NVDA,UNH,XOM"
2022-04-29,30,8,"AAPL,CVX,FCX,JNJ,KO,PFE,UNH,XOM"
2022-05-31,30,8,"CVX,JNJ,KO,MCD,MRK,PFE,UNH,XOM"
2022-06-30,30,8,"CVX,JNJ,KO,MCD,MRK,PFE,UNH,XOM"
2022-07-29,30,8,"CVX,JNJ,KO,MCD,MRK,PFE,UNH,XOM"
2022-08-31,30,8,"AAPL,CVX,KO,MCD,MRK,UNH,UPS,XOM"
2022-09-30,30,8,"CVX,KO,MCD,MRK,MS,UNH,WMT,XOM"
2022-10-31,30,8,"CVX,JNJ,KO,MCD,MRK,SBUX,UNH,XOM"
2022-11-30,30,8,"CVX,HON,JNJ,MCD,MRK,UNH,WMT,XOM"
2022-12-30,30,8,"CVX,FCX,HON,MRK,MS,SBUX,WMT,XOM"
2023-01-31,30,8,"CVX,FCX,HON,MRK,NKE,SBUX,WMT,XOM"
